"nid","title","field_corpo_","field_infovideo","field_playlist","field_tipo_video"
"2151","AULA INAUGURAL 2019: TECNOLOGIA, IGNORÂNCIA E VIOLÊNCIA","<p>Prof. Dr. Pablo Rubén Mariconda</p>
","","","1"
"2150","Os excessos da imagem","<p>Realização: 21/FEV/2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1769"">http://filosofia.fflch.usp.br/eventos/1769</a></p>
","","","4"
"2149","II Encontro do GT de Filosofia e Gênero da ANPOF","<p>Realização: 4 a 6 SET 2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1842"">http://filosofia.fflch.usp.br/eventos/1842</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; color:rgb(88, 88, 88); font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-variant-east-asian:inherit; font-variant-numeric:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4enDhLlIg9pCCvoxz76uwj4e"" target=""_blank"">Playlist do evento </a></p>
","","","10"
"2148","I Encontro Deleuze e Guattari: desejo e política","<p>Realização: 24, 25, 26 e 27/SET/2019<br />
Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/2113"">http://filosofia.fflch.usp.br/eventos/2113</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""height:16px; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4el9LTQlpwQCuvdzrTFikAnx"" target=""_blank"">Playlist do evento </a></p>
","","https://www.youtube.com/playlist?list=PL6upVooJs4el9LTQlpwQCuvdzrTFikAnx","10"
"2115","IV Encontro de Pós-Graduação em Filosofia: Impasses da Racionalidade","<p>Realização: 19 a 23 AGOSTO 2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1912"">http://filosofia.fflch.usp.br/eventos/1912</a></p>

<p><img src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; color:rgb(88, 88, 88); font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-variant-east-asian:inherit; font-variant-numeric:inherit; height:auto; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4emkuZQUfSZ5lEMPw87cGaLY"">Playlist do evento</a></p>
","","","10"
"2114","IV Seminário de Estética e Crítica de Arte da USP: Políticas da Recepção","<p>Realização: 03, 04 e 05 de setembro de 2019</p>

<p>Informações sobre o evento: <a href=""http://filosofia.fflch.usp.br/eventos/1854"">http://filosofia.fflch.usp.br/eventos/1854</a></p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""background-color:rgb(238, 238, 238); border:0px; box-sizing:border-box; color:rgb(88, 88, 88); font-family:noto sans; font-size:14.4px; font-stretch:inherit; font-variant-east-asian:inherit; font-variant-numeric:inherit; height:16px; line-height:inherit; margin:0px; max-width:100%; outline:0px; padding:0px; text-align:center; vertical-align:baseline; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PL6upVooJs4elEf3gGsr5c6Hz9aBA0m87X"">Playlist do evento </a></p>
","","","7"
"1990","II Seminário Internacional de Fenomenologia - Husserl, 1930-31: o ""Nachwort"" às ""Ideen""","<p><span style=""color:rgb(13, 13, 13); font-family:roboto,arial,sans-serif; font-size:14px"">Ministrante: Profa. Dra. Irene Borges Duarte [Universidade de Évora, Portugal] </span></p>

<p><span style=""color:rgb(13, 13, 13); font-family:roboto,arial,sans-serif; font-size:14px"">Organização: Grupo de Estudos de Fenomenologia Contemporânea Prof. Alex de Campos Moura / Prof. Marcus Sacrini </span></p>

<div> </div>
","","","7"
"1637","Marilena Chauí recebe título de Doutora Honoris Causa da UNB","<p><span style=""color:rgb(17, 17, 17); font-family:roboto,arial,sans-serif; font-size:14px"">Aos 77 anos, Marilena Chauí traçou uma longa trajetória de ativismo na educação e na política. Num momento decisivo para o futuro do país, a Universidade de Brasília homenageia a filósofa com o título de Doutora Honoris Causa.</span></p>
","","","9"
"1288","Debate: O circuito dos afetos: corpos políticos, desamparo e o fim do indivíduo","<p><span style=""font-size:12px""><span style=""color:rgb(0, 0, 0); font-family:tahoma,arial,sans"">Debate entre Vladimir Safatle, Peter Pál Pelbart, Ricardo Musse e Jorge de Almeida sobre paradigmas políticos da contemporaneidade, seguido de sessão de autógrafos do livro ""O circuito dos afetos"", do Prof. Vladimir Safatle.</span></span></p>

<p><span style=""font-size:12px"">Realizado no Teatro do Sesc Bom Retiro, 01 de dezembro de 2015</span></p>

<p> </p>
","","","4"
"1072","Aulas USP | Práticas de Leitura e Escrita Acadêmicas 2º sem. 2017","<p>Esta disciplina é uma novidade na USP e pretende desenvolver nos estudantes, prinicipalmente nos de Ciências Humanas, as competências e habilidades relacionadas às necessidades da leitura e da escrita tal como devem ser praticadas na vida acadêmica. Os professores vêm das áreas de História, Ciência Política, Letras e Filosofia. As gravações ocorrem no segundo semestre de 2017, no campus da Cidade Universitária.</p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""border:0px; box-sizing:border-box; font-family:sans-serif; font-size:14px; height:16px; max-width:100%; text-align:center; width:16px"" /><span style=""font-family:sans-serif; font-size:14px""> </span><a href=""https://www.youtube.com/watch?v=IjfRa5t2W7Y&list=PLAudUnJeNg4vWJhEJ_da26C-QW5qiS7uZ"" style=""color: rgb(82, 114, 191); text-decoration-line: none; transition: background-color 0.2s ease, border 0.2s ease, color 0.2s ease, opacity 0.2s ease-in-out; font-family: sans-serif; font-size: 14px; text-align: center;"" target=""_blank"">Playlist do evento</a><span style=""font-family:sans-serif; font-size:14px""> </span></p>
","","","9"
"883","O direito de resistência à tirania: Monarcômacos, teoria contratual e liberdade de consciência Conferência","","","","8"
"867","Colóquio Internacional: Claude Lefort: a invenção democrática hoje","<p>Realizado entre os dias 13 e 16 de outubro de 2015.</p>

<p><img alt="""" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/icon_video.png"" style=""height:16px; width:16px"" /> <a href=""https://www.youtube.com/playlist?list=PLr-41gHAHng_3eZp9KOTtQhVRrvQ4_94I"">Playlist do evento</a> </p>
","","","2"
"799","Aula Inaugural 2017: Filosofia e verdade: a renovação do diálogo em Agostinho","<p>Ministrante: Prof. Dr. Moacyr Novaes</p>
","","","1"
"252","II Seminário de Estética e Crítica de Arte Arte e Política: territórios em disputa","<p>Conferência Inaugural:“Grupo NOX São Paulo</p>

<p>Graffiti”Leon Kossovitch FFLCH/USP<br />
Waldemar Zaidler / Carlos Matuck / Kenji Ota</p>
","","","7"
"251","Seminário de Filosofia Política 1995","<p>Departamento de Filosofia da USP.<br />
Imagens, abertura e edição: Edson Yamazaki </p>
","","","7"
"250","Debate e lançamento do livro ""A Filosofia e sua História""","<p>Autor: Gérard Lebrun<br />
Centro Universitário Maria Antonia.<br />
Profs. Drs. José Arthur Giannotti e Márcio Suzuki.<br />
16/08/2006.<br />
Imagens, abertura e edição: Bruno Rosa </p>
","","","4"
