"nid","title","field_tipo_grade","field_grade_ano","field_conteudo_grade"
"2210","Disciplinas da Pós-Graduação - 1º sem 2020","2","2020","<p><strong><img alt="""" src=""http://filosofia.fflch.usp.br/files/icones/pdf_icon.gif"" style=""border:0px; box-sizing:border-box; height:16px; max-width:100%; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/horario_pos_1_2020.pdf"">[versão para impressão com salas]</a></strong></p>

<p> </p>

<ul>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5165_1_2020.pdf"">FLF5165 – Filosofia da Ciência (Aspectos Epistemológicos e Históricos do Conceito de Morfologia)</a><br />
	Prof. Dr. Maurício de Carvalho Ramos<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 04/03 - 4ª feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5245_1_2020.pdf"">FLF5245 – História da Filosofia Moderna (Natureza e Graça em Blaise Pascal) </a><br />
	Prof. Dr. Luís César Oliva<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 13/02 - 5ª feira das 19h30 às 23h30<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5261_1_2020.pdf"">FLF5261 – Filosofia Política (A Relação entre Teoria Política e História das Ideias Políticas: Quentin Skinner e o Conceito de Liberdade </a><br />
	Prof. Dr. Alberto de Barros<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 03/03 - 3ª feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5262_1_2020.pdf"">FLF5262 – Metafísica (Teoria de Questões) </a><br />
	Prof. Dr. Rodrigo Bacellar<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 17/03 - 3ª das 19h às 23h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5263_1_2020.pdf"">FLF5263 – Lógica (Introdução à Lógica de Primeira Ordem) </a><br />
	Prof. Dr. Edélcio Gonçalves de Souza<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 17/02 - 2º e 4ª feira das 10h às 12h<br />
	Vaga para alunos ESPECAIS: 05<br />
	Vagas para alunos UNESP e UNICAMP: 05<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5264_1_2020.pdf"">FLF5264 – Estética (Estética e Arte Contemporânea: 1970-2010) </a><br />
	Prof. Dr. Ricardo Nascimento Fabbrini<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 05/03 - 5ª feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5265_1_2020.pdf"">FLF5265 – História da Filosofia Medieval (Particularidades da Filosofia Política na Idade Média Tardia)</a><br />
	Prof. Dr. José Carlos Estêvão<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 04/03 -<span style=""background-color:Yellow""> 4ª feira das 14h às 18h</span><br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5266_1_2020.pdf"">FLF5266 – História da Filosofia Contemporânea (Schopenhauer e a Crítica da Moral)</a><br />
	Prof. Dr. Eduardo Brandão<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 04/03 - 4º feira das 9h às 13h <br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><s><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2020-1/FLF5267_1_2020.pdf"">FLF5267 - Teoria das Ciências Humanas (A História da Sexualidade, de Michel Foucault: temas, questões e problemas)</a> </s><a href=""#1""><sup>[1]</sup></a><br />
	<s>Prof. Dr. Ernani Pinheiro Chaves (UFPA)<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Março: 18 e 25; Abril: 1, 22, 29; Maio: 13, 20, 27; Junho: 3, 10, 17, 24 das 14h às 18h.<br />
	Vagas para Alunos REGULARES: 40</s></li>
</ul>

<p><s>​</s></p>

<p><a id=""1"" name=""1"">[1]</a> Em decorrência dos últimos acontecimentos relacionados ao Coronavírus COVID-19 a disciplina está cancelada.</p>
"
"2181","Disciplinas da Graduação - 1º sem 2020","1","2020","<p> </p>

<h2>Horário do 1º Semestre de 2020</h2>

<p> </p>

<ul>
	<li><a href=""http://filosofia.fflch.usp.br/graduacao/semestreatual#matutino"" style=""color: rgb(82, 114, 191); box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; text-decoration-line: none; transition: background-color 0.2s ease 0s, border 0.2s ease 0s, color 0.2s ease 0s, opacity 0.2s ease-in-out 0s;"">Matutino</a></li>
	<li><a href=""http://filosofia.fflch.usp.br/graduacao/semestreatual#vespertino"" style=""color: rgb(82, 114, 191); box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; text-decoration-line: none; transition: background-color 0.2s ease 0s, border 0.2s ease 0s, color 0.2s ease 0s, opacity 0.2s ease-in-out 0s;"">Vespertino</a></li>
	<li><a href=""http://filosofia.fflch.usp.br/graduacao/semestreatual#noturno"" style=""color: rgb(82, 114, 191); box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; text-decoration-line: none; transition: background-color 0.2s ease 0s, border 0.2s ease 0s, color 0.2s ease 0s, opacity 0.2s ease-in-out 0s;"">Noturno</a></li>
</ul>

<p><img alt=""pdf"" src=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/icones/pdf_icon.gif"" style=""border:0px solid; box-sizing:border-box; font:inherit; height:16px; margin:0px; max-width:100%; outline:0px; padding:0px; vertical-align:baseline; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/horarios/horario_1_2020.pdf"" target=""_blank""><strong>[versão para impressão com salas</strong><strong>]</strong></a></p>

<p> </p>

<h3><a id=""matutino"" name=""matutino"">Matutino </a></h3>

<p>--</p>

<h3><a id=""vespertino"" name=""vespertino"">Vespertino</a></h3>

<ul>
	<li><strong>2ª FEIRA - das 14h às 18h</strong>

	<ul>
		<li>​FLF0113 Introdução à Filosofia<br />
		Prof. Carlos Eduardo de Oliveira<br />
		Prof. Evan Keeling<br />
		Prof. Maurício Keinert<br />
		Prof. Moacyr Novaes<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0258_1_2020.pdf"" target=""_blank"">FLF0258 Lógica I</a><br />
		Prof. Edélcio Gonçalves de Souza<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0449_1_2020.pdf"" target=""_blank"">FLF0449 Filosofia e História da Ciência Moderna</a><br />
		Prof. Valter Alnis Bezerra<br />
		<br />
		 </li>
	</ul>
	</li>
	<li><strong>3ª FEIRA - das 14h às 18h<strong>​</strong></strong>
	<ul>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0228_1_2020.pdf"">​​​FLF0228 História da Filosofia Antiga I</a><br />
		Prof. Marco Antonio Zingano<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0503_1_2020.pdf"">FLF0503 Estética IV</a><br />
		Prof. Ricardo Fabbrini<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0468_1_2020.pdf"">FLF0468 Filosofia Medieval III</a><br />
		Prof. Lorenzo Mammi<br />
		<br />
		 </li>
	</ul>
	</li>
	<li><strong>4ª FEIRA - das 14h às 18h</strong>
	<ul>
		<li><strong><strong>​</strong></strong>FLF0113 Introdução à Filosofia<br />
		Prof. Carlos Eduardo de Oliveira<br />
		Prof. Evan Keeling<br />
		Prof. Maurício Keinert<br />
		Prof. Moacyr Novaes<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0278_1_2020.pdf"">FLF0278 Teoria das Ciências Humanas I</a><br />
		Prof. Vladimir Safatle<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0508_1_2020.pdf"">FLF0508 História da Filosofia Moderna VI</a><br />
		Prof. Homero Santiago<br />
		<br />
		 </li>
	</ul>
	</li>
	<li><strong>5ª FEIRA - das 14h às 18h</strong>
	<ul>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0115_1_2020.pdf"">FLF0115 Introdução à Filosofia I</a><br />
		Prof. Marcus Sacrini<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0218_1_2020.pdf"">FLF0218 Estética I</a><br />
		Prof. Oliver Tolle<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0238_1_2020.pdf"" target=""_blank"">FLF0238 História da Filosofia Moderna I</a><br />
		Profa. Tessa Lacerda<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0477_1_2020.pdf"" target=""_blank"">FLF0477 Epistmeologia das Ciências Humanas</a><br />
		Prof. Vladimir Safatle<br />
		<br />
		 </li>
	</ul>
	</li>
	<li><strong>6ª FEIRA  - das 14h às 18h</strong>
	<ul>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0248_1_2020.pdf"">FLF0248 História da Filos. Contemporânea I</a><br />
		Prof. Alex Moura<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0479_1_2020.pdf"">FLF0479 Filosofia Geral II</a><br />
		Prof. Eduardo Brandão<br />
		 </li>
	</ul>
	</li>
</ul>

<h3><a id=""noturno"" name=""noturno"">Noturno </a></h3>

<ul>
	<li><strong>2ª FEIRA – das 19h30 às 23h</strong>

	<ul>
		<li>FLF0113 Introdução à Filosofia<br />
		Prof. Carlos Eduardo de Oliveira<br />
		Prof. Evan Keeling<br />
		Prof. Maurício Keinert<br />
		Prof. Moacyr Novaes<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0278_1_2020.pdf"">FLF0278 Teoria das Ciências Humanas I</a><br />
		Prof. Vladimir Safatle<br />
		 </li>
		<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0468_1_2020.pdf"">FLF0468 Filosofia Medieval III</a><br />
		Prof. Lorenzo Mammi</li>
	</ul>
	</li>
</ul>

<p> </p>

<ul>
	<li><strong>3ª FEIRA – das 19h30 às 23h</strong>

	<ul>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0228_1_2020.pdf"">FLF0228 História da Filosofia Antiga I</a><br />
		Prof. Marco Antonio Zingano<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0481_1_2020.pdf"" target=""_blank"">LF0481 História da Filosofia Moderna IV</a><br />
		Prof. Pedro Paulo Pimenta<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0449_1_2020.pdf"">FLF 0449 Filosofia e História da Ciência Moderna</a><br />
		Prof. Valter Alnis Bezerra<br />
		 </p>
		</li>
		<li>
		<p>FLF0506 Práticas de Leitura e Escrita Acadêmicas<br />
		Vários Docentes<br />
		 </p>
		</li>
	</ul>
	</li>
	<li><strong>4ª FEIRA – das 19h30 às 23h</strong>
	<ul>
		<li>
		<p>FLF0113 Introdução à Filosofia<br />
		Prof. Carlos Eduardo de Oliveira<br />
		Prof. Evan Keeling<br />
		Prof. Maurício Keinert<br />
		Prof. Moacyr Novaes<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0258_1_2020.pdf"" target=""_blank"">FLF0258 Lógica I</a><br />
		Prof. Edélcio Gonçalves de Souza<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0463_1_2020.pdf"" target=""_blank"">FLF0463 Ética e Filosofia Política III</a><br />
		Prof. Alberto Barros<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0462_1_2020.pdf"" target=""_blank"">FLF0462 Teoria das Ciências Humanas III</a><br />
		Prof. Luiz Repa<br />
		 </p>
		</li>
	</ul>
	</li>
	<li><strong>5ª FEIRA – das 19h30 às 23h</strong>
	<ul>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0115_1_2020.pdf"">FLF0115 Introdução à Filosofia I</a><br />
		Prof. Marcus Sacrini<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0248_1_2020.pdf"">FLF0248 História da Filosofia Contemporânea I</a><br />
		Prof. Alex Moura<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0238_1_2020.pdf"" target=""_blank"">FLF0238 História da Filosofia Moderna I</a><br />
		Profa. Tessa Lacerda<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0461_1_2020.pdf"">FLF0461 Filosofia da Linguagem</a><br />
		Prof. João Vergílio Cuter<br />
		 </p>
		</li>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0508_1_2020.pdf"">FLF0508 História da Filosofia Moderna VI</a><br />
		Prof. Homero Santiago<br />
		 </p>
		</li>
	</ul>
	</li>
	<li><strong>6ª FEIRA – das 19h30 às 23h</strong>
	<ul>
		<li>
		<p><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/graduacao/progs_pdf/2020-1/FLF0218_1_2020.pdf"">FLF0218 Estética I</a><br />
		Prof. Oliver Tolle</p>
		</li>
	</ul>
	</li>
</ul>

<p> </p>
"
"1904","Disciplinas da Pós-Graduação - 2º sem 2019","2","2019","<p><strong><img alt="""" src=""http://filosofia.fflch.usp.br/files/icones/pdf_icon.gif"" style=""border:0px; box-sizing:border-box; height:16px; max-width:100%; width:16px"" /> <a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/horario_pos_2_2019.pdf"">[versão para impressão com sala]</a></strong></p>

<ul>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5251_2_2019.pdf"">FLF5251 Estética (Uma Leitura dos Cursos de Estética de Hegel)</a><br />
	Prof. Victor Knoll<br />
	Nº de Créditos: 04<br />
	Início e Horário do Curso: Dia <span style=""background-color:Yellow"">09/08/2019</span> - 6ª feira das 19h às 23h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 50<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5252_2_2019.pdf"">FLF5252 História da Filosofia Moderna (A Economia Política Clássica e seus Modelos Fisiológicos no Século XVIII) </a><br />
	Prof. Pedro Paulo Pimenta e Profa. Isabel Fragelli <br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 01/08/2019 - 5ª feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5253_2_2019.pdf"">FLF5253 História da Filosofia Antiga (Metafísica Aristotélica: a Doutrina das Categorias)</a><br />
	Prof. Marco Antonio Zingano e Prof. Evan Keeling<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia <span style=""background-color:Yellow"">13/08/2019</span> - 3ª feira das 09h às 13h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5254_2_2019.pdf"">FLF5254 Filosofia Geral (A Ideia de História)</a><br />
	Profa. Maria das Graças de Souza, Profa. Olgaria Feres Matos e Profa. Patricia Fontoura Aranovich<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 01/08/2019 - 5ª feira das14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5255_2_2019.pdf"">FLF5255 Estética (Herder e o debate em torno da fundamentação da estética)</a><br />
	Prof. Marco Aurelio Werle<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 06/08/2019 - 3ª feira das 09h às 13h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5256_2_2019.pdf"">FLF5256 Philosophy of Science (Philosophy and History of MindBrain Science) - (a disciplina será ministrada em Inglês)</a><br />
	Prof. Osvaldo Frota Pessoa Jr. <br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia <span style=""background-color:Yellow"">14/08/2019</span> - 4ª feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5257_2_2019.pdf"">FLF5257 História da Filosofia Medieval (Da Teoria das Paixões à Metafísica do Amor em Agostinho de Hipona: do De Libero Arbitrio ao De Trinitate)</a><br />
	Prof. Lorenzo Mammi<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: 13/08/2019 - terça-feira das 14h às 18h<br />
	Vaga para alunos ESPECAIS: 5<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5258_2_2019.pdf"">FLF5258 História da Filosofia Contemporânea (A Estrutura em Merleau-Ponty)</a><br />
	Prof. Alex de Campos Moura<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 16/10/2019 - 2ª e 4º feira das 19h30 às 23h30 (duas aulas semanais)<br />
	Vaga para alunos ESPECAIS: 10<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5259_2_2019.pdf"">FLF5259 LOGIC (Investigations in Hyperintensional Propositional Logic)</a><br />
	Prof. Rodrigo Bacellar<br />
	Nº de Créditos: 08<br />
	Início e Horário do Curso: Dia 19/08/2019 - 2ª feira das 19h às 23h<br />
	Vaga para alunos ESPECAIS: 5<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><s><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5260_2_2019.pdf"">FLF5260 Lógica (Os Pressupostos da Lógica Clássica e os aportes de algumas Lógicas não Clássicas)</a></s> - <span style=""background-color:Yellow""><strong>Atenção:</strong> disciplina cancelada por motivo de saúde.</span><br />
	Profa. Andrea Loparic<br />
	Nº de Créditos: 04<br />
	Início e Horário do Curso: Dia 16/08/2019 - 6ª feira das 15h às 18h<br />
	Vaga para alunos ESPECAIS: 5<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	 </li>
	<li><a href=""http://filosofia.fflch.usp.br/sites/filosofia.fflch.usp.br/files/posgraduacao/ementas/2019-2/PG_FLF5197_2_2019.pdf"">FLF5197 Filosofia da Linguagem (Verificacionismo e Fenomenologia na Filosofia de Wittgenstein)</a><br />
	Prof. João Vergílio Gallerani Cuter<br />
	Nº de Créditos: 08<br />
	Início do Curso: Dia 06/08/2019 - terça-feiras das 09h às 13h<br />
	Vaga para alunos ESPECAIS: 0<br />
	Vagas para alunos UNESP e UNICAMP: 5<br />
	Vagas para Alunos REGULARES: 40<br />
	<br />
	 </li>
</ul>
"
