"x"
"Universidade Federal Fluminense"
"Instituto de Estudos da Linguagem"
"UFRJ"
"Universidade Estadual de Campinas"
"Universidade Federal do Paraná"
" Pontifícia Universidade Católica"
"Universidade Estadual Paulista"
"UFRGS"
"Universidade do Brasil-RJ"
"UFPe"
"Univ. Est. Paulista Júlio de Mesquita Filho"
"UFF"
"Universidade Federal Paulista"
"Universidade Federal de Minas Gerais"
"UFPE"
"Universidade Federal do Ceará"
"Universidade Estadual Paulista Júlio de Mesquita"
"Fundação Escola de Sociologia e Política de São Paulo"
"Univ. Fed. do Pará"
"Univ. Federal de São Carlos"
"UFMG"
"Universidade Federal da Bahia"
"UFRS"
"Fundação Getúlio Vargas"
"Universidade Federal Rural do Rio de Janeiro"
"Universidade Estadual Júlio de Mesquita F."
"Universidade Vale dos Sinos"
"Universidade de Brasília"
"Universidade Federal do Rio de Janeiro"
"Universidade Federal de Viçosa"
"IUPERJ"
"Universidade do Estado do Rio de Janeiro"
"Universidade Federal de Santa Catarina"
"Universidade Federal da Paraíba"
"Universidade Federal do Rio Grande do Sul"
"Univ. Federal do Rio Grande do Sul"
"Universidade de Lisboa"
"UFSC"
"UFB"
"Fundação Universidade de Brasília"
"Faculdades Candido Mendes"
"Centro de Ciências Jurídicas e Econômicas"
"Univ. federal de Santa catarina"
"Universite de Paris X"
"Centro de Ciências Humanas"
"Universidade Federal de Goiás"
"Universidade Estadual de Maringá"
"Universidade Federal de Pernanbuco"
"Universidade Federal de Santa Maria"
"Universidade Mackenzie‎"
"UERJ"
"Universite de Paris"
"Univ. Federal do Paraná"
"Univ. Federal de Uberlândia"
"Universidad Nacional Autonoma de Honduras"
"Instituto de Ciências Humanas e Filosofia"
"Univ. Federal do Ceará"
"Katholieke Universiteit te Leuven"
"Universidade estadual Paulista"
"Université Provence"
"Universidade Federal de Pernambuco"
"Instituto de Pesquisas Energéticas e Nucleares"
"Instituto Universitário Europeu"
"Universidade Federal do Pará"
"Univ. Federal de Pernambuco"
"Universite De L'etat a Anvers"
"Instituto Caetano de Campos"
"Universidade Católica de Goiás"
"Universidade Federal Pernambuco"
"L'Ecole des Hautes Etudes em Sciences Sociales"
"Univ. de Paris"
"Faculté des lettres et Sciences Humaines"
"Instituto Caro y Cuervo"
"Univ. Federal do Pará"
"Institut des Hautes Etudes d'Amérique Latine"
"Université de Paris-Sorbonne"
"UFGRS"
"UFPB"
"Universidade de Toulouse le Mirail"
"Univ. Estadual Paulista"
"Universidade Federal paulista Júlio de Mesquita"
"UFSM"
"Universidade Federal Paulista Júlio de Mesquita"
"Faculdade de Teologia Nossa Senhora da Assunção"
"Universidade de Presidente Prudente"
"Universidade Estadual Paulista Rio Claro"
"Universidade de Minas Gerais"
"Universidade Federal de Brasília"
"Centro de Ciências Sociais e Humanas"
"Instituto Sedes Sapientiae"
"Univ. Federal Paulista"
"UFSM/SC"
"Instituto de Geografia Uberlândia"
"Univ. federal de Uberlândia"
"UF de Santa Maria"
"Universidade São Marcos"
"University of Chicago"
"Universidade Federal do Espírito Santo"
"UFBA"
"universidade Federal do Rio Grande do Norte"
"Univ. Federal de Mato Grosso"
"Univ. Federal da Paraíba"
"UFP"
"UFCE"
"Universidade Esatdual Paulista Júlio de Mesquita"
"Universidade do Vale di Rio do Sinos"
"Univ. de Chicago"
"Universitat Autònoma de Barcelona"
"Universidade Metodista de Piracicaba"
"Universidade Est. Do Rio de Janeiro"
"UFRJ/UFJF"
