"x"
""
"________"
"_________"
"-"
"-----"
"-----------"
"-------------"
"----------------"
"-----------------"
"---------------------"
"------------------------------"
"-----------------------------------"
"Antopologia"
"antropologia"
"Antropologia"
"ANTROPOLOGIA"
"Antropologia Social"
"Antropologiua"
"Artes/ECA/USP"
"Campus de Assis"
"CAMPUS FRANCA"
"Centro de Ciências Humanas"
"Centro de Ciências Jurídicas e Econômicas"
"Centro de Ciências Sociais e Humanas"
"Ciêcias Sociais"
"Ciencia Politica"
"CIENCIA POLITICA"
"Ciência Politica"
"Ciencia Política"
"Ciência Política"
"Ciencia Politttica"
"Ciências"
"Ciências Política"
"Ciências Políticas"
"Ciências Sociais"
"Ciências Sociais e Letras"
"Cioencia Politica"
"Classicas e vernaculas"
"classicas Vernaculas"
"Comunicação e Letras"
"Comunicação e Semiótica"
"Comunicação Social"
"CP"
"DA"
"DCP"
"DCS"
"DCV"
"DEL"
"Departamento de Letras Clássicas e Vernáculas"
"Depto. Ciência Política"
"Depto. Educação"
"DF"
"D.F"
"DG"
"D.G"
"DGF"
"DH"
"DH/UNESP"
"Direito Internacional"
"dl"
"DL"
"DLC"
"DLCV"
"D.Linguística"
"DLM"
"DLO"
"DLS"
"DO"
"Doutorado"
"DP"
"DS"
"DTLCV"
"DTLL"
"DTLLC"
"ECA"
"ECA -USP"
"ECA-USP"
"ECA/USP"
"Economia"
"Educação"
"Escola de Sociologia e Política-SP"
"Escola Superior Luiz de Queiroz"
"Estudos Comparados de Literaturas de Língua Portuguesa"
"Faculdade de Teologia Nossa Senhora da Assunção"
"Faculdade Saúde Pública"
"Faculdades Candido Mendes"
"faculté des lettres et Sciences Humaines"
"FALE/UFMG"
"FAUUSP"
"FAU-USP"
"FAU/USP"
"FE"
"FEA-USP"
"FE-USP"
"FFCL"
"FFCL-Araraquara"
"FFCL- Araraquara"
"FFCL/Araraquara"
"FFCL-Assis"
"FFCL-ASSIS"
"FFCLC-USP"
"FFCL-Franca"
"FFCL-Presidente Prudente"
"FFCL-Rio Claro"
"FFCL - SJRP"
"FFCL-USP"
"FFLCH-Araraquara"
"FFLCH-Franca"
"Filologia e Língua Portuguesa"
"Filologia e lingua pportuguesa"
"FILOSIFIA"
"Filosofia"
"FIlosofia"
"FILOSOFIA"
"Filosofia,Letras  e ciências Humanas"
"Filosofia,Letras e ciências Humanas"
"FILOZOFIA"
"Física"
"FLH"
"FLO"
"FM-USP"
"Francês"
"Fundação Escola de Sociologia e Política"
"Fundação Escola de Sociologia e Política de SP"
"Fundação Escola Sociologia e Política"
"Fundação Getúlio Vargas"
"Fundação Universidade de Brasília"
"Geociências-USP"
"geografia"
"Geografia"
"GEOGRAFIA"
"Geografia Física"
"Geografia Humana"
"Geologia"
"Historia"
"HISTORIA"
"Hístoria"
"história"
"História"
"Hístoria Econômica"
"História e Cultura"
"Historia Social"
"Hístoria Social"
"História- UNESP"
"inguística"
"Iniversité Provence"
"Institut des Hautes Etudes deI'Amérique Latine"
"Instituto Caetano de Campos"
"Instituto Caro y Cuervo"
"Instituto de Ciências Humanas e Filosofia"
"Instituto de Estudos da Linguagem"
"Instituto de Geociências"
"Instituto de Geografia"
