"nid","title","SGA_ACERVO_VIDEO","Descritor","Descritor.1","Descritor.2","Descritor.3","Descritor.4","Descritor.5","Descritor.6","Descritor.7","Descritor.8","Descritor.9","Descritor.10","Descritor.11","Descritor.12","Descritor.13","Descritor.14","Descritor.15","Descritor.16","Descritor.17","Descritor.18","Descritor.19","Descritor.20","Descritor.21","Descritor.22"
"349","POVO DO VENENO, O","877","1091","1139","1155","1159","1285","1294","1518","1667",,,,,,,,,,,,,,,
"350","TARUMÃ","878","1253","1263","1392","1667",,,,,,,,,,,,,,,,,,,
"351","QUE BOM TE VER VIVA","879","1074","1076","1113","1159","1165","1204","1209","1279","1366","1521","1667",,,,,,,,,,,,
"352","CANDOMBLÉ: MOMENTOS DE INICIAÇÃO","880","1065","1178","1218","1219","1232","1386","1442","1667",,,,,,,,,,,,,,,
"353","SANTO ANTONIO: CASA OU NÃO CASA?","881","1098","1220","1231","1386","1667",,,,,,,,,,,,,,,,,,
"354","NOSSA GREVE EM 1982","882","1044","1107","1204","1249","1253","1263","1384","1667",,,,,,,,,,,,,,,
"355","DIA NA VIDA DO TRABALHADOR RURAL,UM","885","1100","1253","1263","1295","1667",,,,,,,,,,,,,,,,,,
"356","LAMPARINA (EPISÓDIO Nº 1)","888","1038","1044","1204","1249","1263","1279","1667",,,,,,,,,,,,,,,,
"357","LAMPARINA (EPISÓDIO Nº 3)","890","1038","1044","1204","1249","1263","1279","1667",,,,,,,,,,,,,,,,
"358","SAUDADE","892","1116","1147","1162","1286","1375","1666",,,,,,,,,,,,,,,,,
"359","MODERNISMO: ANOS 20","893","1026","1078","1126","1157","1158","1191","1279","1369","1667",,,,,,,,,,,,,,
"360","ENTRE OS CHIMPANZÉS SELVAGENS","896","1006","1276","1352","1523","1524",,,,,,,,,,,,,,,,,,
"361","FESTA DO KWARUP","898","1172","1378","1452","1458","1459","1667",,,,,,,,,,,,,,,,,
"362","SE CORRER O BRANCO PEGA, SE FICAR O BRANCO COME...","899","1048","1134","1138","1198","1285","1389","1528","1667",,,,,,,,,,,,,,,
"363","ZO`E, CUMINAPANEMA","900","1008","1009","1031","1092","1172","1285","1381","1431","1667",,,,,,,,,,,,,,
"364","GRAND CANYON -  UMA VIAGEM EM BUSCA DO DESCOBRIMENTO","901","1033","1053","1092","1222","1286","1414","1666",,,,,,,,,,,,,,,,
