nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
357,LAMPARINA (EPISÓDIO Nº 3),890,38,45,213,258,272,305,712,,,,,,,,,,,,,,,,
358,SAUDADE,892,120,153,169,314,410,711,,,,,,,,,,,,,,,,,
359,MODERNISMO: ANOS 20,893,26,80,132,163,164,200,305,404,712,,,,,,,,,,,,,,
360,ENTRE OS CHIMPANZÉS SELVAGENS,896,6,296,385,562,563,,,,,,,,,,,,,,,,,,
361,FESTA DO KWARUP,898,179,413,491,497,498,712,,,,,,,,,,,,,,,,,
362,"SE CORRER O BRANCO PEGA, SE FICAR O BRANCO COME...",899,49,140,144,207,313,424,567,712,,,,,,,,,,,,,,,
363,"ZO`E, CUMINAPANEMA",900,8,9,31,94,179,313,416,469,712,,,,,,,,,,,,,,
364,GRAND CANYON -  UMA VIAGEM EM BUSCA DO DESCOBRIMENTO,901,33,54,94,231,314,451,711,,,,,,,,,,,,,,,,
365,CUNIÃ: UMA COMUNIDADE AMEAÇADA,902,93,140,145,149,253,313,424,712,,,,,,,,,,,,,,,
366,"HOMEM QUE QUERIA SER REI, O",903,38,49,53,221,318,358,386,588,,,,,,,,,,,,,,,
367,"ESPÍRITO DA TV, O",904,45,120,159,202,207,313,323,486,712,,,,,,,,,,,,,,
368,MASCARAS DE SONHO. O DESMAIO RESTAURADO NO RITUAL DO WAIA,905,239,268,305,313,463,712,,,,,,,,,,,,,,,,,
369,PARIMÃ: FRONTEIRAS DO BRASIL,906,9,54,94,186,313,319,323,568,639,712,,,,,,,,,,,,,
370,NATUREZA DE UM CONTINENTE (1º PROGRAMA),907,53,94,104,113,120,121,186,222,223,231,296,309,343,355,386,549,550,562,570,571,572,573,
371,"SAGA DO HERÓI, A   (1º PROGRAMA )",909,68,69,103,161,220,222,223,225,239,314,,,,,,,,,,,,,
372,MITOLOGIA E NATUREZA (2º PROGRAMA),910,68,69,103,139,161,222,223,225,226,314,,,,,,,,,,,,,
373,"PRIMEIROS CONTADORES DE HISTÓRIAS , OS   (3 º PROGRAMA)",911,24,161,221,263,284,314,376,489,,,,,,,,,,,,,,,
374,"AMOR E A DEUSA, O  (5º PROGRAMA)",913,4,68,69,161,172,220,221,257,,,,,,,,,,,,,,,
375,"VIRGEM E O TOURO, A  (1º PROGRAMA)",915,24,53,93,95,120,161,169,223,229,312,543,578,639,,,,,,,,,,
376,"IDADE DO OURO, A  (3º PROGRAMA)",917,29,53,87,146,227,231,312,369,543,639,,,,,,,,,,,,,
377,"TRÊS ESPANHAS, AS  (5º PROGRAMA)",919,26,78,112,120,169,312,314,434,543,639,,,,,,,,,,,,,
378,TV: TRADIÇÕES E CULTURAS,920,36,53,120,159,581,582,583,584,585,,,,,,,,,,,,,,
379,"REVOLUÇÃO CHINESA, A",921,55,81,194,213,310,434,588,,,,,,,,,,,,,,,,
380,PRÉ-HISTÓRIAS DA PEDRA FURADA,924,23,24,420,489,542,712,,,,,,,,,,,,,,,,,
381,VÍDEO NAS ALDEIAS,925,36,120,153,159,213,472,490,530,586,712,,,,,,,,,,,,,
382,"SAGA DO CHEFE WAIWAI, A",926,44,45,93,143,202,213,313,323,386,486,,,,,,,,,,,,,
383,"IDADE DO VÍDEO, A  (1º PROGRAMA)",927,26,41,176,393,543,594,,,,,,,,,,,,,,,,,
384,EM TORNO DO CINEMA (7º PROGRAMA),933,38,41,159,393,,,,,,,,,,,,,,,,,,,
385,ARTISTAS CONVIDADOS (11º PROGRAMA),937,26,41,159,393,,,,,,,,,,,,,,,,,,,
386,P ' TÁMUNÁ : O FILHO DA TERRA,941,44,45,93,120,213,313,425,587,,,,,,,,,,,,,,,
387,SANGUE FRIO - MORTE NO TIMOR DO LESTE,942,53,112,121,166,209,284,564,588,589,,,,,,,,,,,,,,
388,RODA VIVA : ORLANDO VILLAS BOAS,943,76,94,202,207,386,428,,,,,,,,,,,,,,,,,
389,BOCA LIVRE NO SARARÉ,944,44,93,140,143,149,253,313,413,490,712,439,,,,,,,,,,,,
390,"AMÉRICA, PECADO CAPITAL",947,78,80,89,182,213,363,421,540,,,,,,,,,,,,,,,
391,CAVALHADA - SÃO PEDRO DE CATUÇABA,948,72,102,108,222,427,,,,,,,,,,,,,,,,,,
392,LÉVI-STRAUSS,949,6,94,439,,,,,,,,,,,,,,,,,,,,
393,"QUESTÃO DO OBSCENO, A",950,4,56,68,221,257,569,,,,,,,,,,,,,,,,,
394,REGISTROS VISUAIS NA ARQUEOLOGIA,953,23,109,489,,,,,,,,,,,,,,,,,,,,
395,"GUERRA DOS MENINOS, A",955,65,104,160,166,284,286,370,384,401,442,552,598,,,,,,,,,,,
396,ILUSÕES PERDIDAS (3º PROGRAMA),957,55,121,184,284,309,329,347,543,585,601,602,639,,,,,,,,,,,
