nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
536,"CIDADE E O CORPO, A",1129,50,305,,,,,,,,,,,,,,,,,,,,,
537,WHOLES,1130,50,428,,,,,,,,,,,,,,,,,,,,,
538,"REINO DOS PARESI, O",1131,44,139,305,413,533,,,,,,,,,,,,,,,,,,
539,"SAUDADE EM FESTA, A",1132,102,153,423,534,,,,,,,,,,,,,,,,,,,
540,HABITANTES DA RUA,1133,160,370,423,,,,,,,,,,,,,,,,,,,,
541,AMERÍNDIA,1134,94,231,377,,,,,,,,,,,,,,,,,,,,
542,"INOCÊNCIA, A",1135,55,117,199,212,305,434,535,,,,,,,,,,,,,,,,
543,"ESPERANÇA, A",1137,55,117,212,305,434,535,536,712,,,,,,,,,,,,,,,
544,YNDIO DO BRASIL,1139,36,305,384,439,,,,,,,,,,,,,,,,,,,
545,NÓS QUE NOS AMÁVAMOS TANTO,1140,38,375,543,657,,,,,,,,,,,,,,,,,,,
546,MUITO BARULHO POR NADA,1141,38,317,543,,,,,,,,,,,,,,,,,,,,
547,COMO ÁGUA PARA CHOCOLATE,1142,38,525,,,,,,,,,,,,,,,,,,,,,
548,EVOLUÇÃO,1143,7,314,,,,,,,,,,,,,,,,,,,,,
549,"ERA DOS DINOSSAUROS, NA",1144,5,542,,,,,,,,,,,,,,,,,,,,,
550,"ANJO AZUL, O",1145,38,302,,,,,,,,,,,,,,,,,,,,,
551,SANGUE DE HERÓI,1146,38,314,,,,,,,,,,,,,,,,,,,,,
552,"M., O VAMPIRO DE DÜSSELDORF",1147,38,185,302,,,,,,,,,,,,,,,,,,,,
553,PÉRFIDA,1148,38,127,314,,,,,,,,,,,,,,,,,,,,
554,"EXPANSÃO OTOMANA, A",1149,68,118,543,,,,,,,,,,,,,,,,,,,,
555,ÁFRICA ANTES DA COLONIZAÇÃO EUROPÉIA,1150,118,296,,,,,,,,,,,,,,,,,,,,,
556,HISTÓRIA GERAL DA ARTE,1151,347,369,543,,,,,,,,,,,,,,,,,,,,
557,COMO FOTOGRAFAR COM GLAMOUR - PARTE 2,1152,109,314,,,,,,,,,,,,,,,,,,,,,
558,TERRA DO MAR,1153,161,229,266,418,,,,,,,,,,,,,,,,,,,
559,"HOMEM QUE VIROU SUCO, O",1154,38,171,273,384,428,,,,,,,,,,,,,,,,,,
560,KINOTREM SÃO PAULO,1155,50,51,398,428,712,,,,,,,,,,,,,,,,,,
561,"LENI RIEFENSTHAL, A DEUSA IMPERFEITA",1157,36,185,200,302,,,,,,,,,,,,,,,,,,,
562,MULHER INVISÍVEL  - PROG.1,1158,130,166,172,173,305,390,778,,,,,,,,,,,,,,,,
563,MULHER INVISÍVEL  - PROG.2,1159,172,221,305,,,,,,,,,,,,,,,,,,,,
564,MULHER INVISÍVEL  - PROG.3,1160,257,305,580,,,,,,,,,,,,,,,,,,,,
565,MULHER INVISÍVEL  - PROG.5,1162,101,172,240,305,,,,,,,,,,,,,,,,,,,
566,PESSOAS E CHOCOLATE,1163,58,305,262,272,,,,,,,,,,,,,,,,,,,
567,MUSICA CHOPI,1164,179,545,,,,,,,,,,,,,,,,,,,,,
568,ANTOLOGIA JVC/SMITHSONIAN DE VIDEOS FOLCLÓRICOS DA MUSICA E DANÇA DA AFRICA,1167,177,349,501,547,548,,,,,,,,,,,,,,,,,,
569,ANTOLOGIA JVC/SMITHSONIAN DE VIDEOS FOLCLÓRICOS DA MUSICA E DANÇA DA AFRICA,1168,177,343,549,550,,,,,,,,,,,,,,,,,,,
570,PAISAGENS URBANAS,1170,50,153,305,544,,,,,,,,,,,,,,,,,,,
571,"SOPA DE AWARA, A",1171,8,120,319,712,,,,,,,,,,,,,,,,,,,
572,"CONSTRUÇÃO DO TEXTO E DO CONTEXTO, A",1425,25,50,120,428,,,,,,,,,,,,,,,,,,,
573,"EU, UM NEGRO",1175,48,186,,,,,,,,,,,,,,,,,,,,,
574,"CAÇA AO LEÃO COM ARCO, A",1176,263,296,485,,,,,,,,,,,,,,,,,,,,
575,"PAÍS DOS SURDOS, O",1177,73,347,543,553,554,,,,,,,,,,,,,,,,,,
576,"HOMEM DA CÂMERA, O",1178,36,329,395,,,,,,,,,,,,,,,,,,,,
577,CAMINHO SAGRADO ATRAVÉS DA TERRA SAGRADA,1179,122,215,338,359,673,,,,,,,,,,,,,,,,,,
578,"MISSÃO DE PESQUISAS FOLCLÓRICAS, A",1180,102,305,555,,,,,,,,,,,,,,,,,,,,
579,"DOIS MUNDOS, A PAIXÃO PELO MUNDO CARIOCA",1181,26,363,421,,,,,,,,,,,,,,,,,,,,
580,"SEBASTIÃO SALGADO, A VIDA DOS OPERÁRIOS",1182,109,305,395,,,,,,,,,,,,,,,,,,,,
581,"FOLIAR, ANDANDO EM FOLIAS NUM CARNAVAL DA BAHIA",1424,,,,,,,,,,,,,,,,,,,,,,,
582,FENDAS NAS MÁSCARAS,1185,176,359,559,,,,,,,,,,,,,,,,,,,,
583,PAIXÃO E GUERRA NO SERTÃO DE CANUDOS,1186,113,221,325,332,419,,,,,,,,,,,,,,,,,,
584,BARBARA E SEUS AMIGOS DO CAMDOMBLÉ,1188,62,395,428,481,712,,,,,,,,,,,,,,,,,,
585,AO REDOR DO BRASIL,1189,193,208,313,561,,,,,,,,,,,,,,,,,,,
586,GERALDO FILME,1190,182,428,,,,,,,,,,,,,,,,,,,,,
587,"CORPO E OS ESPÍRITOS, O",1191,249,285,439,491,,,,,,,,,,,,,,,,,,,
588,HEINZ FORTHMANN,1192,36,117,153,439,,,,,,,,,,,,,,,,,,,
589,JAGUAR,1194,169,296,336,341,,,,,,,,,,,,,,,,,,,
590,"FIO DA MEMÓRIA, O",1195,120,177,186,221,386,421,,,,,,,,,,,,,,,,,
591,CREDE-MI,1196,38,332,712,,,,,,,,,,,,,,,,,,,,
592,"MORAYNGAVA, O DESENHO DAS COISAS",1197,285,395,416,596,,,,,,,,,,,,,,,,,,,
593,"POVO DO  CANTO MAXAKALI, O",1198,94,120,415,597,,,,,,,,,,,,,,,,,,,
594,FARRA DO BOI,1199,102,426,555,,,,,,,,,,,,,,,,,,,,
595,CUIKÚRU,1201,39,439,492,,,,,,,,,,,,,,,,,,,,
596,SEGREDOS DA MATA,1203,38,161,323,486,439,,,,,,,,,,,,,,,,,,
597,BEIJOQUEIRO - RETRATO DE UM SERIAL KISSER,1204,305,569,,,,,,,,,,,,,,,,,,,,,
598,"MOÇAS, AS",1205,48,120,159,545,,,,,,,,,,,,,,,,,,,
599,TCHUMA TCHATO,1206,150,263,545,,,,,,,,,,,,,,,,,,,,
600,"GUERRA DA ÁGUA, A",1207,104,112,150,545,,,,,,,,,,,,,,,,,,,
601,DANÇAS RITUAIS DO CANDOMBLÉ,1208,72,177,178,305,481,,,,,,,,,,,,,,,,,,
602,PIONEIROS DA SAÚDE - A EUROPA CURVOU-SE ANTE AO BRASIL,1209,163,305,541,,,,,,,,,,,,,,,,,,,,
603,CAMPONESES DOS ANDES,1210,92,123,284,312,376,377,488,543,639,,,,,,,,,,,,,,
604,"SILÊNCIOS DO PALÁCIO, OS",1211,38,223,296,351,,,,,,,,,,,,,,,,,,,
605,MEMÓRIAS DO MUNDO,1212,50,153,431,,,,,,,,,,,,,,,,,,,,
606,BIOGRAFIA DE UMA MINA,1213,270,534,543,630,,,,,,,,,,,,,,,,,,,
607,"VIAGENS IMAGINÁRIAS DE GEORGES MÉLIÈS, AS- VOL. 1",1214,36,38,,,,,,,,,,,,,,,,,,,,,
608,"ESTUDANTE DE PRAGA, O",1215,36,38,543,641,,,,,,,,,,,,,,,,,,,
609,"GOLEM, O HOMEM DE BARRO",1216,38,161,302,,,,,,,,,,,,,,,,,,,,
610,"VAMPIRO, O",1217,38,302,,,,,,,,,,,,,,,,,,,,,
611,HÄXAN - A FEITIÇARIA ATRAVÉS DOS TEMPOS,1218,38,406,543,644,645,,,,,,,,,,,,,,,,,,
612,LINA BO BARDI,1219,25,68,428,544,598,646,647,,,,,,,,,,,,,,,,
613,ENIGMA DE UM DIA,1220,26,38,428,,,,,,,,,,,,,,,,,,,,
614,"PIERRE FATUMBI VERGER, MENSAGEIRO ENTRE DOIS MUNDOS",1221,6,109,228,296,305,485,543,648,712,,,,,,,,,,,,,,
615,CONFIDÊNCIAS DO RIO DAS MORTES,1222,153,272,415,,,,,,,,,,,,,,,,,,,,
616,MAPAS URBANOS - SÃO PAULO,1223,50,120,177,428,544,,,,,,,,,,,,,,,,,,
617,MAPAS URBANOS - RIO DE JANEIRO,1224,50,120,177,544,598,,,,,,,,,,,,,,,,,,
618,MAPAS URBANOS - SALVADOR,1225,120,177,544,646,,,,,,,,,,,,,,,,,,,
619,TRÊS CHAPADAS E UM BALÃO: CHAPADA DE DIAMANTINA,1226,139,325,,,,,,,,,,,,,,,,,,,,,
620,TRÊS CHAPADAS E UM BALÃO: CHAPADA DOS GUIMARÃES,1227,139,413,,,,,,,,,,,,,,,,,,,,,
621,TRÊS CHAPADAS E UM BALÃO: CHAPADA DOS VEADEIROS,1228,139,378,,,,,,,,,,,,,,,,,,,,,
622,CINEMAMBEMBE,1229,36,305,336,,,,,,,,,,,,,,,,,,,,
623,HISTÓRIAS DE AVÁ - O POVO INVISÍVEL,1230,58,413,698,,,,,,,,,,,,,,,,,,,,
624,PROJETO TUCUM,1231,81,415,439,,,,,,,,,,,,,,,,,,,,
625,IMPRESSÕES PARA CLARA,1232,4,38,305,,,,,,,,,,,,,,,,,,,,
626,DIÁRIOS DE HARLEM,1233,36,48,384,652,,,,,,,,,,,,,,,,,,,
627,"WAYANA, ENTRE DOIS RIOS",1234,93,143,202,319,539,712,,,,,,,,,,,,,,,,,
628,CRONICA DOS DIAS DIFÍCEIS,1235,120,241,655,,,,,,,,,,,,,,,,,,,,
629,"GUERRA DE PACIFICAÇÃO NA AMAZÔNIA, A",1236,94,284,464,,,,,,,,,,,,,,,,,,,,
630,EMERGÊNCIAS,1237,347,543,656,,,,,,,,,,,,,,,,,,,,
631,SOLARIS,1238,38,329,,,,,,,,,,,,,,,,,,,,,
632,MEMÓRIAS DE IMIGRANTES - A HERANÇA MAGREBIANA,1239,120,169,296,347,543,661,,,,,,,,,,,,,,,,,
633,OBRAS PREMATURAS,1240,41,302,,,,,,,,,,,,,,,,,,,,,
634,HISTÓRIA(S) DO CINEMA - TODAS AS HISTÓRIAS E UMA HISTÓRIA ÚNICA - 1,1241,36,37,38,116,,,,,,,,,,,,,,,,,,,
635,HISTÓRIA(S) DO CINEMA - TODAS AS HISTÓRIAS E UMA HISTÓRIA ÚNICA - 2,1242,36,109,382,,,,,,,,,,,,,,,,,,,,
636,HISTÓRIA (S) DO CINEMA - TODAS AS HISTÓRIAS E UMA HISTÓRIA ÚNICA - 3,1243,36,314,317,329,347,543,657,658,,,,,,,,,,,,,,,
637,HISTÓRIA(S) DO CINEMA - TODAS AS HISTÓRIAS E UMA HISTÓRIA ÚNICA -  4,1244,36,116,,,,,,,,,,,,,,,,,,,,,
638,"MEMÓRIA DE ELEFANTE, UMA",1245,26,29,176,659,,,,,,,,,,,,,,,,,,,
639,"IRACEMA, UMA TRANSAMAZÔNICA",1246,38,54,305,313,561,,,,,,,,,,,,,,,,,,
640,MORTE AO VIVO,1247,36,38,284,314,,,,,,,,,,,,,,,,,,,
641,FARGO,1248,36,38,284,314,,,,,,,,,,,,,,,,,,,
642,CÃES DE ALUGUEL,1249,36,38,284,314,,,,,,,,,,,,,,,,,,,
643,ASSASSINOS POR NATUREZA,1250,36,38,284,314,393,,,,,,,,,,,,,,,,,,
644,AMOR À QUEIMA ROUPA,1251,36,38,284,314,,,,,,,,,,,,,,,,,,,
645,TEMPO DE VIOLÊNCIA,1252,36,284,314,,,,,,,,,,,,,,,,,,,,
646,"ESTRADA PERDIDA, A",1253,38,314,,,,,,,,,,,,,,,,,,,,,
647,"SETE CRIMES CAPITAIS, OS",1254,36,38,284,314,,,,,,,,,,,,,,,,,,,
648,MULHERES DIABÓLICAS,1255,38,270,284,314,711,,,,,,,,,,,,,,,,,,
649,"TEKO ARANDU, VIVER GUARANI",1256,177,421,427,660,,,,,,,,,,,,,,,,,,,
650,"CASA E A FLORESTA, A",1257,58,139,143,305,313,454,712,,,,,,,,,,,,,,,,
651,SÃO PAULO DE JUÓ BANANÉRE,1258,51,155,169,428,,,,,,,,,,,,,,,,,,,
652,IMAGEM - VIOLÊNCIA  CINCO MONTAGENS,1259,36,284,314,,,,,,,,,,,,,,,,,,,,
653,"ÓDIO, O",1260,48,185,284,320,386,543,,,,,,,,,,,,,,,,,
654,COMO NASCEM OS ANJOS,1261,62,160,286,598,,,,,,,,,,,,,,,,,,,
655,FILMES DE MAJOR THOMAZ REIS,1262,54,208,313,446,491,,,,,,,,,,,,,,,,,,
656,CIVILIZANDO O CABOCLO,1373,177,186,227,228,484,712,,,,,,,,,,,,,,,,,
657,HIA SÁ SÁ HAI YAH!,1264,120,169,331,428,,,,,,,,,,,,,,,,,,,
658,UNIVERSIDADE EM CRISE,1265,428,601,662,,,,,,,,,,,,,,,,,,,,
659,QUINZE FILHOS,1266,78,101,213,428,560,,,,,,,,,,,,,,,,,,
660,"SÃO PAULO, O RAP DA SATURAÇÃO",1267,48,50,160,177,215,428,,,,,,,,,,,,,,,,,
661,MEMÓRIAS DO ORENOCO,1268,58,519,,,,,,,,,,,,,,,,,,,,,
662,"ATLÂNTICO NEGRO, NA ROTA DOS ORIXÁS",1269,67,228,296,325,412,648,712,,,,,,,,,,,,,,,,
663,"RIO DAS AMAZONAS, NO",1270,139,324,416,,,,,,,,,,,,,,,,,,,,
664,ANDRËI ROUBLEV,1271,26,38,329,,,,,,,,,,,,,,,,,,,,
665,NOSTALGIA,1272,38,153,329,543,657,,,,,,,,,,,,,,,,,,
666,TSA'AMARI - DE ALGUÉM QUE PARTIU PARA SER ÍNDIO,1273,232,413,463,,,,,,,,,,,,,,,,,,,,
667,HEPARI IDUB'RADA - OBRIGADO IRMÃO,1274,36,393,413,463,,,,,,,,,,,,,,,,,,,
668,WAPTÉ  MNHÕNÕ - INICIAÇÃO DO JOVEM XAVANTE,1275,241,413,463,,,,,,,,,,,,,,,,,,,,
669,TEM QUE SER CURIOSO,1276,36,393,413,,,,,,,,,,,,,,,,,,,,
670,LEMBRANÇAS FUTURAS,1277,109,120,296,341,,,,,,,,,,,,,,,,,,,
671,MAMA WATA - EM BUSCA DOS ESPÍRITOS DAS ÁGUAS NA NIGÉRIA,1278,221,241,663,,,,,,,,,,,,,,,,,,,,
672,"VIAGEM DO LEÃO, A",1279,120,296,336,543,664,,,,,,,,,,,,,,,,,,
673,"LIBERDADE É AZUL, A",1280,38,347,,,,,,,,,,,,,,,,,,,,,
674,METAIS SEM FRONTEIRA,1281,181,543,577,581,639,,,,,,,,,,,,,,,,,,
675,"TEMPO DAS CHUVAS, NO",1283,58,321,455,439,,,,,,,,,,,,,,,,,,,
676,COMO ERA GOSTOSO MEU FRANCÊS,1284,54,93,112,439,,,,,,,,,,,,,,,,,,,
677,NELSON PEREIRA DOS SANTOS - PROGRAMA RODA VIVA,1285,36,305,,,,,,,,,,,,,,,,,,,,,
678,CAPITALISMO SELVAGEM,1286,38,49,305,380,,,,,,,,,,,,,,,,,,,
679,"LENDA DE UBIRAJARA, A",1287,38,439,,,,,,,,,,,,,,,,,,,,,
680,UIRÁ,1288,38,94,412,439,,,,,,,,,,,,,,,,,,,
681,DESCOBRIMENTO DO BRASIL,1289,38,54,305,,,,,,,,,,,,,,,,,,,,
682,"CONTATOS - HENRI CARTIER BRESSON,WILLIAN KLEIN,JOSEF KOUDELKA, RAYMOND DEPA",1290,109,153,543,,,,,,,,,,,,,,,,,,,,
683,"CONTATOS - ROBERT DOISNEAU,ELLIOT ERWITT, EDOUARD BOUBAT, MARC RIBOUD",1291,109,153,543,,,,,,,,,,,,,,,,,,,,
684,"CONTATOS - DON MACCULLIN, HELMUT NEWTON, DUANE MICHALS, SARAH MOON",1292,109,153,543,,,,,,,,,,,,,,,,,,,,
685,"CONTATOS - SOPHIE CALLE, THOMAS RUFF, NAN GOLDIN, LEWIS BALTZ",1293,109,153,543,,,,,,,,,,,,,,,,,,,,
686,"SONHO POLYANA - ACOMPANHAMENTO DA DEMARCAÇÃO, VIGILÂNCIA E PRESERVAÇÃO DE C",1294,44,207,313,321,666,,,,,,,,,,,,,,,,,,
687,QUILOMBOLAS,1295,120,187,305,,,,,,,,,,,,,,,,,,,,
688,PROJETO DE EDUCAÇÃO AMBIENTAL PONTAL VERDE,1296,305,476,,,,,,,,,,,,,,,,,,,,,
689,COMPLÔ PELA CIDADANIA - A REFORMA AGRÁRIA NO PONTAL DE PARANAPANEMA,1297,47,427,50,6,,,,,,,,,,,,,,,,,,,
690,EXPOSIÇÃO ITINERANTE 'VIVER A VIDA XAVANTE',1298,81,428,463,,,,,,,,,,,,,,,,,,,,
691,ANDES NO CAMINHO CERTO,1299,305,667,,,,,,,,,,,,,,,,,,,,,
692,NAWA HUNI,1300,36,593,594,,,,,,,,,,,,,,,,,,,,
693,A'UWÊ UPTABI - O POVO VERDADEIRO,1301,120,239,413,463,,,,,,,,,,,,,,,,,,,
694,AO SUL DA PAISAGEM- A PAISAGEM E O SAGRADO,1302,120,139,161,660,,,,,,,,,,,,,,,,,,,
695,KARAJÁS,1303,93,120,239,446,,,,,,,,,,,,,,,,,,,
696,FAWCETT - O ENIGMA DE UM EXPLORADOR,1304,305,313,336,,,,,,,,,,,,,,,,,,,,
697,VOZES DA POLÍTICA INDIGENISTA NO BRASIL,1305,,,,,,,,,,,,,,,,,,,,,,,
698,"ASSEMBLÉIA TICUNA, UMA",1306,,,,,,,,,,,,,,,,,,,,,,,
699,DAMÃ ROWAIHU'UDZÉ - PRA TODO MUNDO FICAR SABENDO,1307,81,120,153,305,463,712,,,,,,,,,,,,,,,,,
700,"TRILHA DOS URU-EU-WAU-WAU, NA",1308,94,139,470,,,,,,,,,,,,,,,,,,,,
701,TEMPO BRAVO - GUERRA DE CANUDOS RELEMBRADA,1309,112,117,221,325,,,,,,,,,,,,,,,,,,,
702,"PASTEUR, CEM ANOS DEPOIS",1310,248,249,305,668,,,,,,,,,,,,,,,,,,,
703,"SIMIÃO MARTINIANO, O CAMELÔ DO CINEMA",1311,36,419,,,,,,,,,,,,,,,,,,,,,
704,CRÔNICAS DE UM VERÃO,1312,48,77,320,543,,,,,,,,,,,,,,,,,,,
705,IMAGENS DA ANTROPOLOGIA,1313,120,305,393,669,,,,,,,,,,,,,,,,,,,
706,LISA - LAB. DE IMAGEM E SOM EM ANTROPOLOGIA,1314,36,81,427,669,712,,,,,,,,,,,,,,,,,,
707,MATIÇÃO: UMA COMUNIDADE ILUMINADA,1315,102,177,187,415,,,,,,,,,,,,,,,,,,,
708,ÁREA DE LINGÜÍSTICA - MUSEU PARAENSE EMILIO GOELDI,1318,396,416,439,,,,,,,,,,,,,,,,,,,,
709,ÑANDE REKO ARANDU - MEMÓRIA VIVA GUARANI,1321,177,427,660,,,,,,,,,,,,,,,,,,,,
710,VIAGEM DE IDA E VOLTA,1322,48,120,169,305,543,639,670,,,,,,,,,,,,,,,,
711,MELHORANDO RUMOS,1323,94,139,592,,,,,,,,,,,,,,,,,,,,
712,"ENIGMA VERDE DE ALTAMIRA,O",1324,94,139,148,313,413,416,530,,,,,,,,,,,,,,,,
713,DIÁRIO DA AMAZÔNIA,1325,93,139,313,439,,,,,,,,,,,,,,,,,,,
714,JEAN ROUCH: SUBVERTENDO FRONTEIRAS,1326,6,36,296,320,395,428,543,,,,,,,,,,,,,,,,
715,"POVO BRASILEIRO, O - MATRIZ TUPI, LUSA E  AFRO - ENCONTROS E DESENCONTROS",1327,120,305,559,,,,,,,,,,,,,,,,,,,,
716,"POVO BRASILEIRO, O - MATRIZ CRIOULO-SERTANEJO-CAIPIRA-SULINOS-CABOCLO",1328,120,305,559,,,,,,,,,,,,,,,,,,,,
717,FILMES DO GRANADA CENTRE - 1991-1995,1329,6,37,317,543,,,,,,,,,,,,,,,,,,,
718,"CAMINHO DA EXPEDIÇÃO DE LANGSDORFF, NO",1330,28,336,403,,,,,,,,,,,,,,,,,,,,
719,"CIDADE E SUAS RUÍNAS, A",1,25,50,101,114,153,431,,,,,,,,,,,,,,,,,
720,SABERES MUSICAIS EM UMA BATERIA DE ESCOLA DE SAMBA,63,178,182,431,,,,,,,,,,,,,,,,,,,,
721,TEMPO DE DESCOBERTAS,2,177,431,,,,,,,,,,,,,,,,,,,,,
722,"HERANÇA DOS ""TRONCO VELHO"", A",3,44,45,93,116,153,203,423,,,,,,,,,,,,,,,,
723,"ILHA ASSOMBRADA - REALIDADE OU ILUSÕES, A",4,81,161,227,229,259,423,712,,,,,,,,,,,,,,,,
724,FORMAÇÃO E ATUAÇÃO DE MÚSICOS DAS RUAS DE PORTO ALEGRE,5,50,177,271,431,,,,,,,,,,,,,,,,,,,
725,"ACADEMIA SAI NA AVENIDA, A",6,81,99,105,182,431,,,,,,,,,,,,,,,,,,
726,CIDADE SITIADA,7,50,101,130,286,431,,,,,,,,,,,,,,,,,,
727,"APESAR DE TUDO, FÉRIAS",8,101,120,169,296,309,347,386,543,,,,,,,,,,,,,,,
728,LINGUISTAS EM CONTATO,9,131,320,543,,,,,,,,,,,,,,,,,,,,
729,"NUKAK MAKU, OS ULTIMOS NÔMADES VERDES",10,94,311,313,614,,,,,,,,,,,,,,,,,,,
730,SOZINHA COM A GUERRA,11,113,120,284,327,,,,,,,,,,,,,,,,,,,
731,OLHOS AZUIS,15,81,186,314,386,,,,,,,,,,,,,,,,,,,
732,HIROSHIMA MEU AMOR,14,38,76,112,153,331,375,,,,,,,,,,,,,,,,,
733,DONGBA,16,69,221,310,588,651,,,,,,,,,,,,,,,,,,
734,MAOS E CEREBROS NEGROS,17,87,186,270,325,421,,,,,,,,,,,,,,,,,,
735,"ÚLTIMO DOCUMENTÁRIO, O. OBSERVAÇÕES SOBRE AS IMAGENS",12,37,302,314,317,329,347,393,432,543,,,,,,,,,,,,,,
736,FUTEBOL  (PROGRAMA 1),18,62,89,365,378,421,,,,,,,,,,,,,,,,,,
737,FUTEBOL (PROGRAMA 2),19,89,160,365,421,430,,,,,,,,,,,,,,,,,,
738,FUTEBOL (PROGRAMA 3),20,89,153,365,421,,,,,,,,,,,,,,,,,,,
739,"DIA QUALQUER, UM (4º)",21,50,129,160,271,286,421,,,,,,,,,,,,,,,,,
740,"VALE, O (2º)",22,87,117,140,153,160,262,421,,,,,,,,,,,,,,,,
741,PASSAGEIROS (3º),23,50,101,160,171,271,336,400,420,428,,,,,,,,,,,,,,
742,SANTA CRUZ ( 5º),24,101,160,171,230,284,421,,,,,,,,,,,,,,,,,
743,ENSAIO GERAL ( 6º),25,67,105,182,186,363,421,,,,,,,,,,,,,,,,,
744,"FAMÍLIA BRAZ, A (1º)",49,50,101,186,271,363,384,386,428,,,,,,,,,,,,,,,
745,NOTÍCIAS DE UMA GUERRA PARTICULAR,50,76,79,218,286,363,401,421,,,,,,,,,,,,,,,,
746,JORGE AMADO,51,67,95,132,227,228,325,384,444,,,,,,,,,,,,,,,
747,KRAJCBERG - O POETA DOS VESTÍGIOS,52,29,139,140,215,305,313,325,411,415,712,,,,,,,,,,,,,
748,SOCORRO NOBRE,53,101,130,172,218,325,,,,,,,,,,,,,,,,,,
749,TERRA ESTRANGEIRA,54,38,101,169,336,,,,,,,,,,,,,,,,,,,
750,CENTRAL DO BRASIL,55,38,101,160,171,419,421,,,,,,,,,,,,,,,,,
751,"PRIMEIRO DIA, O",76,38,102,130,218,284,,,,,,,,,,,,,,,,,,
752,AFEGANISTÃO - PROGRAMA SEM FRONTEIRAS (GLOBONEWS),58,112,223,314,318,449,,,,,,,,,,,,,,,,,,
753,AMÉRICA  (COMPACTO PARTE 1),59,93,120,153,314,376,384,,,,,,,,,,,,,,,,,
754,AMÉRICA (COMPACTO PARTE 2),60,120,177,186,255,314,384,,,,,,,,,,,,,,,,,
755,"CHINA ""O IMPÉRIO DO CENTRO""  (COMPACTO PARTE 1)",61,69,94,98,310,,,,,,,,,,,,,,,,,,,
756,"CHINA ""O IMPÉRIO DO CENTRO"" (COMPACTO PARTE 2)",62,55,69,112,118,194,223,310,,,,,,,,,,,,,,,,
757,TATUAGEM SAMOA,13,56,95,241,314,338,339,,,,,,,,,,,,,,,,,
758,MEU NOME É ALAN BERLINER,26,95,314,,,,,,,,,,,,,,,,,,,,,
759,MÚSICAS DO MUNDO - DIVERSIDADE CULTURAL E PLURALIDADE,27,177,296,305,310,319,340,341,342,343,344,346,348,588,712,,,,,,,,,
760,IRMÃOS KACHAMBA,28,177,296,349,,,,,,,,,,,,,,,,,,,,
761,MARIMBA DE SÃO SEBASTIÃO,29,177,181,325,,,,,,,,,,,,,,,,,,,,
762,"DANÇA TIMBILA CHOPI, A",30,72,181,,,,,,,,,,,,,,,,,,,,,
763,CANTOS DE AREIA E DE ESTRELAS,31,177,224,296,308,314,342,345,346,350,352,353,354,355,356,357,543,588,711,,,,,
764,"SAMBA N. 1 - RIO, A ACADEMIA DO SAMBA",32,182,324,67,,,,,,,,,,,,,,,,,,,,
765,DA ÁRVORE AO XILOFONE,33,179,296,,,,,,,,,,,,,,,,,,,,,
766,"KIRTANA, O CORAÇÃO MÍSTICO DO BENGALE",34,48,72,177,358,,,,,,,,,,,,,,,,,,,
767,BOARDED UP,35,50,114,316,543,,,,,,,,,,,,,,,,,,,
768,"ZINAT, UM DIA PARTICULAR",36,77,175,213,353,,,,,,,,,,,,,,,,,,,
769,CARNE VIVA,37,56,302,314,347,359,543,673,711,,,,,,,,,,,,,,,
770,"HARPA OULDÉMÉ, UMA",38,177,296,360,,,,,,,,,,,,,,,,,,,,
771,GENTE COLONIAL  (1º EPISÓDIO),39,87,93,101,117,172,305,,,,,,,,,,,,,,,,,
772,"CANA DE MEL, PREÇO DE FEL - 2º EPISÓDIO",40,93,117,186,284,305,366,443,,,,,,,,,,,,,,,,
773,NA COMPANHIA DOS HOLANDESES  (3º EPISÓDIO),41,94,112,117,284,,,,,,,,,,,,,,,,,,,
774,DOS GRILHÕES AO QUILOMBO ( 4º EPISÓDIO),43,87,95,117,130,186,227,284,366,368,,,,,,,,,,,,,,
775,"CONQUISTA DA TERRA E DA GENTE, A  ( 5º EPISÓDIO)",44,93,112,117,122,231,235,284,305,,,,,,,,,,,,,,,
776,ENTRE A FÉ E A ESPADA - 6º EPISÓDIO,45,87,93,112,117,231,284,313,377,,,,,,,,,,,,,,,
777,FAUSTO E POBREZA DAS MINAS (7º EPISÓDIO),46,26,80,112,117,146,378,379,,,,,,,,,,,,,,,,
778,SEGREDOS DA INCONFIDÊNCIA - 8º EPISÓDIO,47,117,121,200,237,378,383,,,,,,,,,,,,,,,,,
779,QUEM SÃO ELES ? (1º EPISÓDIO),64,94,117,120,284,305,386,447,452,454,455,456,457,458,593,439,,,,,,,,
780,NOSSAS LÍNGUAS  (2º EPISÓDIO),65,81,94,120,131,202,206,231,284,305,447,456,459,460,593,439,,,,,,,,
781,BOA VIAGEM IBANTU  (3º EPISÓDIO),66,48,94,241,430,461,,,,,,,,,,,,,,,,,,
782,QUANDO DEUS VISITA A ALDEIA (4º EPISÓDIO),67,44,45,47,48,94,98,161,202,462,439,,,,,,,,,,,,,
783,"OUTRA HISTÓRIA, UMA (5º EPISÓDIO)",68,45,76,81,93,112,284,305,402,439,,,,,,,,,,,,,,
