"nid","title","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload"
883,"Formulários - Funcionários TUSP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Alunos TUSP 1sem2012.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,"Testes de nível dos cursos de japonês - 2º semestre/2016","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Conteudo.do_.Japones1_HARU_1sem2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Conteudo.da_.Parte1_.doPreparatorioN3_1sem2016.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"Notas do 2º semestre de 2015","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Conversação em Portugues _ Tabela para Notas e Frequência 2o sem 2015.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles Academico Pos-Graduandos_Angela- 2sem2015.pdf","","","","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA ESCRITA ACADÊMICA.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA LEITURA EM HUMANAS.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações Orais - 2º2015 - Notas e frequência.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA A ESCRITA ACADÊMICA NA ÁREA DE BIOLÓGICAS .pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários Nota e frequência nível A1A2 módulo 2 2015-2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários Nota e frequência nível A2B1 módulo 2 2015-2.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nota e Frequência RAG-RAPG (Todas as turmas).pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico3_seg.qua_2sem2015_LILIANAYMO.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico3_sabado_2sem2015_LILIANAYMO.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones.Basico4_ter.qui_2sem2015_LILIANAYMO.pdf","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2015-2 Notas e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA LEITURA NÍVEL 1 _TURMA 1 _2º 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA LEITURA NÍVEL 1 _TURMA 2 _2º 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLES PARA LEITURA NIVEL 2 2º 2015.pdf","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,"Informações Gerais - Centro de Línguas - FAQ","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Cópia de Devolução de Teste de Nível .docx_.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,"Proficiência em Inglês","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2003 Letras [retificado].pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 IMT_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 EE_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 EACH-SI_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 IME-CC_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 IF_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/2004 Diversitas - Edital.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2004 MAC PGEHA_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/EDITAL - 2004 IP-PSE_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 EACH-Turismo.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 ECA.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 IEB_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 ICB_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 IB.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 IO.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2005 PME.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital 2005 TOXINOLOGIA.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/EDITAL 2006 PPGEE.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2006 EACH-SI.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2006 IME-CC.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2006 IPEN.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital 2006 Poli-PPGEN.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2007 FAU.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2007 Historia Social.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital - 2007 Historia Economica.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Modelos de Prova.zip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,"MONITORIA CL – VAGAS","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Edital ATAC-015-16-CL-Proficiência Lg. Japonesa.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,"Exames de Proficiência","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/FAQ.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3134,"Curso de Português para Estrangeiros","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Foreign Students - How to join the Portuguese courses.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Foreign students - how to join the Portuguese courses_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Manual do Estudante Estrangeiro_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Manual do Estudante Estrangeiro.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,"Formulários - Funcionários CRint - 2º semestre de 2012","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Francês CRint-Funcionários-2.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"INGLÊS 1º SEMESTRE","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/frequencia Ingles Leituras Humanas 1o sem 2015 Nivia.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,"Testes de nível - Inglês para Funcionários - 2º semestre/2016","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/FUNCIONÁRIOS Resultado do teste de nível 2016-2.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,"Notas do 2º semestre de 2018","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Fuyu 2017.2 Liliana Oda Retificado.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Preparatório para N3 2017.2 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Redação em Japonês 2017.2 Liliana Oda.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Conversação e Produção de texto em Português Língua Estrangeira - Níveis B e C 2017-2.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2017-2 Nota e frequência_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Apresentações 2017-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Escrita Acadêmica para Graduação 2017-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles para Leitura de Textos 1 2017-2 Notas e frequencia - Nivia Marcello.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles para Escrita Academica 2017-2  Notas e frequencia - Nivia Marcello.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura de Textos - Nível 1 - Turma 1_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura de Textos - Nível I - turma 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura de Textos - Nível 2.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,"Inglês para Graduação e Pós-Graduação USP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Grad teste.pdf","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4040,"Notas do 2º semestre de 2019","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2019-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/TED Talks 2019-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/TOEFL 2019-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2019-2 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_Frequencia_FUYU_2sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_Frequencia_Prep.N3.JLPT(2)_2sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas_Frequencia_NATSU_2sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/nota e frequência Inglês para Leitura  de Textos 1 2o sem 2019 Nivia Marcello.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura _Nível 1_segundase quartas_12 as 14 horas_2_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura _Nível 1_segundase quartas_09as11 horas_2_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para leitura _Nível 2_terças_12as14 horas_2_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Tabela_notas.freq_intensivo.REDACAO.JAP_.UNIV_dez.2019 (2).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Avançado PLE Imigrantes e Refugiados nota e freq 4o bim 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nivel B 2a nota e freq 2o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nivel B 3a nota e freq 2o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nivel C 2a nota e freq 2o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nivel C 3a nota e freq 2o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nivel C 4a nota e freq 2o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2019-3 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas finais ICA 2sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas IPC N1 2sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas IPC2 2sem2019 tabela.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas IPC3 2sem2019 tabela notas_0.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,"Reitoria - Departamento de Informática","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês - Básico A1-A2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista Reitoria - Departamento de Informática.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Lista - Inglês Intermediário.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,"Instituto de Medicina Tropical","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês Básico II _MT - lista.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês Básico Intermediário - IMT - lista.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,"Notas do 1º semestre de 2018","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês em Contexto Acadêmico 2017.1 Angela Corte.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Graduandos USP I 2017.1 Angela Corte.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Graduandos USP II 2017.1 Angela Corte.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Graduandos USP III 2017.1 Angela Corte.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles para Escrita Academica Pós 2017.1 Nivia Marcello.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura 1 2017.1 Nivia Marcello.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura  Nìvel 2 2017.1 Ana Silvia.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações orais 2017.1 Priscila Hayama.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Preparatório para o IELTS 2017.1 Priscila Hayama.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Preparatório para o TOEFL 2017.1 Priscila Hayama.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Funcionários B1M1 2017.1 Priscila Mayumi.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários B1M2 2017.1 Priscila Mayumi.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Redacao em Japones 2017.1 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japones III Aki 2017.1 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Leitura para N4-N5 do JLPT 2017.1 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Preparatorio para N3 do JLPT 2017.1 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Praticas de Leitura em Lingua Japonesa 2017.1 Liliana Oda.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/CPLE 1o sem 2017.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para escrita acadêmica para graduação 2018-1 Nota e frequência_0.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,"Notas do 1º semestre de 2018","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários A2-B1 módulo 2 Nota e frequência 2016-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários A2-B1 módulo 1 Nota e frequência 2016-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para funcionários B1 módulo 1 Nota e frequência 2016-1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura - Nìvel I Turma 1 _ 9 as 11 horas_2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura - Nìvel I Turma 2 _ 12 as 14 horas_2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Leitura de Textos - Nìvel II_2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para negócios Módulo 1 2016-1 Nota e frequência.pdf","","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas - POLI - Módulo 3 - 1ºsem 2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas - IRI - Módulo 3 - 1º sem2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas - POLI - Módulo 2 - Turma 1 - 1ºsem2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas - POLI - Módulo 2 - Turma 2 - 1ºsem2016.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Capacitação para Ensino de PLE 2016 sem1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/RAG 2016 sem1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/RAPG 2016 sem1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Curso Preparatório para N3 parte 1 - 2016 - 1º sem.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japonês Básico I - Haru - 2016 - 1ºsem.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Recuperação M2 1sem16.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Recuperação M3 1sem16.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japonês - Básico 4 - Tsubaki_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para escrita acadêmica para graduação 2018-1 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2018-1 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2018-1 Nota e frequência.pdf","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequencias prep n3_4.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Japonês 5 -  Shiki.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/tabela.notas_.frequencia_Japones1.HARU_1sem2018_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas ICA Angela 1Sem2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nota e frequência 1o 2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles-para-leitura-_Nivel-1_segunda_quarta_12as14-horas_1_2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas grad 1 Angela 1sem2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas grad 2 Angela 1sem2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas grad 3 Angela 1sem2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para Produção de Abstracts_1_2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/tabela.notas_.frequencia_Prat.Leit_.Jap_1sem2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas grad 2 Angela 1sem2018_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles-para-leitura-_Nivel-2_tercas_12as14-horas_1_2018.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles-para-leitura-_Nivel-1_segunda_quarta_9as11horas_1_2018.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,"Notas do 2º semestre de 2014 – Funcionários","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS para funcionários USP Nota e frequência Todas as turmas 2014-2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Nota e frequência 2014-2_0.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,"CURSO DE INGLÊS PARA FUNCIONÁRIOS USP","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/INGLÊS PARA FUNCIONÁRIOS USP-Nível A1 (elementar) –  Módulo 1     3ª e 5ª 12h-13h30_0.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,"Formulários - Funcionários FMVZ","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês Veterinária - Nível Básico.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês Nível Intermediário - Veterinária.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/ingles  basico veterinaria.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Ingles Intermediário FMVZ.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês  Básico FMVZ.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês Básico - Veterinária.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,"OFICINAS","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Jornada de Ensino de Português Língua Estrangeira.pdf","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3772,"Notas do 1º semestre de 2019","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/leitura 1.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/leitura 1 - 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequencia Ingles para Leitura 1 1o sem 2019_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Leitura 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/CPLE 1 2019 tabela nota frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2019-1 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/IELTS 2019-0 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/TED Talks 2019-1 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Inglês para apresentações 2019-1 Nota e frequência (1).pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequencia Ingles para Leitura 1 1o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas e frequencia Ingles para Escrita Academica 1o sem 2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas Graduandos 1 1sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas graduandos 2 1sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/notas Graduandos 3 1sem2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/TOEFL 2019-1 Nota e frequência.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas.frequencia_Japones3.AKI_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas.frequencia_Prep.N3-P1_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/Notas Japones1.HARU_2019.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br//files/nota.freq_SAKURA.ferias_jan.2019.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
