"nid","title","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload","upload"
1390,"Práticas de Leitura e Escrita em Português Língua Estrangeira","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE (5) (10).doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE_1.doc","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE (5).doc","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Ficha de inscrição - LEPLE2.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE (4).doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Lista de alunos habilitados a fazer a inscrição.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE_0.doc","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição LEPLE.doc"
759,"Redação Acadêmica para Graduação- RAG","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição RAG.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição RAG_0.doc",,,,,,,,,
761,"Redação Acadêmica para Pós-Graduação- RAPG","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição RAPG.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição RAPG_0.doc",,,,,,,,,
1586,"Práticas de leitura em francês I - Direito","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Francês IITabela valores 2015_0.pdf","",,,,,,,,,
1606,"Práticas de leitura em Intercompreensão: textos acadêmicos na área das Letras","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/francês letras Tabela valores 2015.pdf",,,,,,,,,,
1281,"Curso de Francês para iniciantes (CFI) - Relações Internacionais - Módulo I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Francês Tabela valores 2015._0.pdf","","",,,,,,,,
1611,"Curso de Francês para iniciantes (CFI) - Relações Internacionais - Módulo II","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Francês Tabela valores 2015._1.pdf","",,,,,,,,,
1278,"Práticas de leitura em francês I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Francês Tabela valores 2015..pdf","","","","","",,,,,
4050,"Preparatório para IELTS (IRI)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/IELTS isentos - 1º período.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/IELTS TOEFL Teste de nível Resultado 2020- 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/IELTS TOEFL Teste de nível Resultado 2020-1_0.pdf",,,,,,,,
1537,"Inglês para Leitura de Textos II","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inglês Leitura de Textos_0.pdf",,,,,,,,,,
1536,"Inglês para Leitura de Textos I e II","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/INGLÊS PARA LEITURA DE TEXTOS I - ISENTOS.pdf",,,,,,,,,,
4048,"CURSO INTENSIVO DE FÉRIAS: JAPONÊS ELEMENTAR - SAKURA","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Japonês Intensivo de Férias_ Sakura - QSE.docx_.pdf",,,,,,,,,,
1279,"Japonês Básico I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Japonês.pdf","","",,,,,,,,
1470,"[JAPONÊS] Curso Intensivo: Japonês Básico I","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/jappreços.pdf","",,,,,,,,,
1292,"Curso de Férias - A Escrita Logográfica Japonesa (Kanji)","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Kanji 12014.pdf","",,,,,,,,,
1118,"Inglês para Funcionários","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Levantamento de turmas de funcionarios 2013-1 Lista de alunos 2.pdf","",,,,,,,,,
1372,"Curso Intensivo: Conversação em Português Língua Estrangeira","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/lista sorteados _ ferias julho 2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Ficha de inscrição CPLE - férias_1.doc","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Ficha de inscrição CPLE - férias.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Ficha de inscrição CPLE - férias (2).doc","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição CPLE (1)_0.doc","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/ficha de inscrição CPLE (1)_0_0.doc",,,
2495,"Inglês para negócios (IRI) – módulo 2","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Negócios Teste de nível Resultado 2016-1.pdf",,,,,,,,,,
3889,"Preparatório para IELTS","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Prep Ielts.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Preparatório para IELTS.pdf",,,,,,,,,
3916,"Preparatório para TOEFL iBT (internet-based test) - 2º semestre 2019","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Preparatório para TOEFL iBT (internet-based test) qse.pdf",,,,,,,,,,
4066,"Preparatório para IELTS -curso de férias","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/PRISCILA Programa de curso - Preparatório para IELTS 2020-1 férias.pdf",,,,,,,,,,
1373,"Inglês para Graduação USP - alunos antigos","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/programa academico graduandos 1sem2015_nivel 1_0.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/Inglês Graduandos e Pós.pdf","","","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/programa ingles para graduandos 2 1sem2015 nivel 2.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/programa ingles para graduandos nivel 4 1sem2015.pdf","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/programa ingles para graduandos 3 1sem2015 nivel 3.pdf",,,,
4067,"Minicurso: Inglês oral para funcionários","http://d6clinguas.fflch.usp.br/sites/d6clinguas.fflch.usp.br/files/programa Mini-curso Inglês oral para funcionários revisado.pdf",,,,,,,,,,
