Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0021,"HADDAD, Maria de Lourdes",Comemorando o cinquentenario da Faculdade de Filosofia de Minas Gerais. ,Revista do Depto. de História,,UFMG,1989,Belo Horizonte - MG,,Cóp. Xerox,n.9,p.7-20,,
AB0022,"BLAY, Eva Alterman",Homenagem a Maria Isaura Pereira de Queiroz a quem foi conferido o título de Professora Emérita,,Homena-gem,,1990,[São Paulo - SP],,,,4p.,Consta 1 cópia,
AB0023,"QUEIROZ, Maria Isaura Pereira de",Discurso proferido por ocasião da conferência do título de professoras emérita,,,,1990,São Paulo - SP,,Discurso,,,,
AB0024,,,Revista Trans/ for/ ação ,Antonio Cândido,,1974,São Paulo - SP,,Revista,n.1,p.9-23,Entrevista de Antonio Cândido dada a referida revista,
AB0025,"SAWAYA, Paulo","Esboço Histórico da Faculdade de Filosofia, Ciências e Letras da USP. 1934-1969",,,FFLCH - USP,1979,São Paulo - SP,,Livro,,55p.,Constam 4 exemplares,
AB0026,"CARDOSO, Irene de Arruda Ribeiro",Maio de 68: o advento do individualismo e da heteronomia,Revista Tempo Social,,,1. Sem. 1989,São Paulo - SP,,Revista,"v.1, n.1",p.235-246,,
AB0027,"MORAES, João Quartim de",A mobilização democrática e o desenvolvimento da luta armada no Brasil em 1968: notas historiográficas e observações críticas,Tempo Social,,,1989,,,Revista,1 (2),178p.,,
AB0028,"CARDOSO, Irene de Arruda Ribeiro",Memória de 68: terrror e interdição do passado,Revista Tempo Social,,,2.sem. 1990,São Paulo - SP,,Revista,"v.2, n.2",188p.,,
AB0029,"MARTINS, Heloisa Helena Teixeira de Souza",Azis Simão.  ,Revista Instituto Estudos Brasileiros,,IEB-USP,,São Paulo - SP,,Revista,n.32,p.211-213,Edição Especial. Consta exemplar inteiro da revista (217p.),
AB0030,,,Revista do Instituto de Estudos Brasileiros. Parlamen-tarismo e Presiden-cialismo em Debate,,IEB-USP,1991,São Paulo - SP,,Revista,n.32,220p.,Edição Especial,
AB0031,USP,Corpo Docente da USP,,,Seção de Relações Universitá-rias e Divulgação,1968,São Paulo - SP,,,,205p.,,
AB0032,FFLCH-USP,Relatório de Atividades. Cadeira História da Civilização Brasileira.,,,FFLCH - USP,"1938-49, 1951, 1953-56, 1958, 1966.",São Paulo - SP,, Relatório,,,"Mimeo. Acompanham: programas, impressos, histórico e roteiros de trabalho.",
AB0033,FFLCH-USP,"Resumo da Legislação FFLCH. Decretos, Portarias, Estatutos, Boletins.",,,FFLCH-USP,"1934-64, 1968, 1970-2.",São Paulo - SP,,Resumo,,,,
AB0034,USP,Resumo das resoluções do Conselho Universitário referentes a  reestruturação da USP,,,USP,1969,São Paulo - SP,,,,,mimeo,
AB0035,USP,Sugestões de normas para a realização de concurso de ingresso na carreira docente,,,USP,1969,São Paulo - SP,,,,,mimeo,
AB0036,USP,USP: vários aspectos (50 anos),Revista Ciência e Cultura,,USP,1984,São Paulo - SP,,Revista,"n.12, v.36",2302p.,,
AB0037,"LEITE, Miriam L. Moreira",Projeto Memória da Faculdade de Filosofia,,,,1989,São Paulo-SP,,Aponta-mentos,,,"man., dat.",
AB0038,"LEFEBVRE, Jean Paul.",Les professeus français des missions universitaires au Brésil.,Cahiers du Brésil Contemporai,,,1990,Paris-França,,Revista,n.12,p.89-100,,
AB0039,"FORACCHI, Marialice Mencarini",A participação Social dos Excluídos,,,Hucitec ,1982,São Paulo - SP,,,,,,
AB0040,"FERNAN-DES, Florestan",A Questão da USP,,,Brasiliense,1984,São Paulo - SP,,Livro,,118p.,,
AB0041,ADUSP,O livro negro da USP - O controle ideológico na universidade,,História da Universi-dade de São Paulo,Brasiliense,1978,São Paulo - SP,,Livro,,76p.,,
AB0042,"ARAÚJO, Braz José",Para superar a crise do departamento de Ciências Sociais  ,,Universi-dade de São Paulo,,[1991],São Paulo - SP,,Folheto,,10p.,,
AB0043,FFLCH-USP,Programas  para 1976-História ,,,FFLCH-USP,1976,São Paulo - SP,,Programas,,159p.,Constam 2 exemplares,
AB0044,"SANTOS, M. Cecília Loschiavo dos.",Maria Antonia: uma rua na contramão,,,Nobel,1988,São Paulo - SP,,Livro,,279p.,,
AB0045,FFCL-USP,Programa Curso de Ciências Sociais para 1953,,,FFCL-USP,1953,São Paulo - SP,,Programas,,66p.,,
AB0046,FFLCH-USP,,Revista Língua e Literatura Depto. Letras-FFLCH/USP,,FFLCH-USP,1981-1984,São Paulo-SP,,Revista,ano XV,192p.,Número Comemorativo. Cóp. xerox.,
AB0047,"WITTER, Geraldine Porto","Resenha sobre WESTPHALEN, Cecília Maria. Faculdade de Filosofia, Ciências e Letras do Paraná: 50 anos",Ciência e Cultura. Revista da Sociedade Brasileira para o Progresso da Ciência,,,1989,,,Revista,41 (10),p.1018-23,,
AB0048,,Homenagem prestada pelos colegas,Revista Ciência e Cultura ,Clodowaldo Pavan,,set-90,,,Revista,"v.42, n.9",p.688-702,,
AB0049,"IGLÉSIAS, Francisco","Resenha de HOLANDA, Sérgio Buarque de. Monções.",Revista Ciência e Cultura,,SBPC,set.1990,São Paulo - SP,,Resenha,,p.727-8,,
AB0050,"CÂNDIDO, Antonio (et alii)",Homenagem a Ruy Coelho,Revista USP,Ruy Coelho,,1990,São Paulo - SP,,Revista,n.6,p.141-150,,
AB0051,"WITTER, José Sebastião",USP/50 anos: registro de um debate,,,Reitoria USP,1984,São Paulo - SP,,Livro,,142p.,,
AB0052,"DEAN, Warren et alii.",Vila Penteado,,,"FAU-USP/ Secretaria da Cultura, Ciência e Tecnologia",1976,São Paulo - SP,1a. ed. ,Livro,,135p.,,
AB0053,FFLCH-USP,Relatório de Atividades 1989.,,,FFLCH-USP,1990,São Paulo - SP,,Relatório,,279p.,Constam 2 exemplares,
AB0054,"MOTT, Maria Lucia de Barros",Memória-História da Escola Paulista de Medicina e do Hospital São Paulo,,,,,São Paulo-SP,,Projeto,,33p.,mimeo.,
AB0055,"SIMONSEN, Roberto","Rumo à verdade. Sociologia, Política, Economia",,,Limitada ,1933,São Paulo - SP,,Livro,,43p.,,
AB0056,"MAUGUE, Jean",Les dents agacées,,,Editions Buchet-Chastel,1982,São Paulo - SP,,Livro,,237p.,,
AB0057,"MOTA, Lourenço Dantas",História Vivida,,,OESP,1981,São Paulo - SP,,Livro,2v.,,,
AB0058,"MICELI, Sergio (org.)",História das Ciências Sociais no Brasil,,,Vertice/Edi-tora Revista dos Tribunais-IDESP,1989,São Paulo-SP,,Livro,v.1,483p.,,
