Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0319,"CANEDO, Letícia Bicalho",Memorial. ,,,Universidade de Campinas,1993,Campinas - SP,,Texto,,60p.,Cop. Xerox,
AB0320,"BOSI, Alfredo",Aula Inaugural dos Cursos da FFLCH - USP,,,,1995,São Paulo - SP,,Transcrição,,29p.,Aula realizada em 7 de março 1995.,
AB0321,"LUNA, Francisco Vidal",Análise da estrutura sócio-econômica de Centros de mineração das Gerais (1718-1804),,,IPE/FINEP,1982,São Paulo - SP,,Relatório Final,,179p.,,
AB0322,"WERNET, Augustin",Os Redentoristas no Brasil. Aparecida.,,,Ed. Santuário,1995,São Paulo - SP,,,v.1,308p.,,
AB0323,"FERNANDES, Florestan",A Contestação Necessária. Retratos Intelectuais de Inconformistas e Revolucionários,,,Ática,1995,São Paulo - SP,,Livro,,200p.,"Série - Temas,  v.48",
AB0324,"MOREIRA, Alberto; DE BONI, Luis A.; C. JR., Clovis",,"Cadernos do IFAN. Medievalistica-Duns Scotus-Fé, política e modernidade",,EDUSF,1995,Bragança Paulista - SP,,Caderno,n.11,120p.,,
AB0325,"SOUZA, José Inácio de Melo e","A carga da Brigada Ligeira: intelectuais e crítica cinematográfica, 1941-1945",,,ECA-USP,1995,São Paulo-SP,,Tese,v.1,262p.,"Tese de doutorado em Artes, orientada pela Profa. Maria Rita E. Galvão",
AB0326,"OLIVEIRA, Hélio Lourenço de; SOUZA, Antonio Cândido de Mello e; SILVA, Alberto Carvalho da",USP: 1968-1969: texto seguido de testemunhos e documentos. ,,,EDUSP,1995,São Paulo-SP,,Livro,,144p.,,
AB0327,"CAMARGO, Ana Maria de Almeida (coord.)","Diagnóstico de Arquivos da Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo ",,,CAPH/ DH-FFLCH-USP,1996,São Paulo - SP,,Livro,,196p,,
AB0328,"DREYFUS, André","Homenagem ao Prof. André Dreyfus Professor da Faculdade de Philosophia, Sciencias e Letras da  Universidade de São Paulo",,Homenagem,,09/11/37,São Paulo - SP,,[Livro],,23p.,Publicado por Automovel Club,
AB0329,"SILVA, Márcia Elisa da  ",Arquivos sobre o CRUSP de 1983-1985,,CRUSP,,1993,São Paulo - SP,,Papel. Cop. Xerox,,,"Material coletado e arquivado por Márcia Elisa da Silva, Diretora do DPS da Coseas, adquirido pela APGMCRUSP  ",
AB0330,,Trinta anos de História do CRUSP,,CRUSP,,ago-93,São Paulo - SP,,Papel. Cop. Xerox,,,Pesquisa realizada pela coordenadoria da APGMCRUSP para a Semana de Debates e Exposições do CRUSP,
AB0331,,Inquérito Policial Militar (IPM) CRUSP. Instaurado para apurar as atividades políticas subversivas no CRUSP,,CRUSP,,18/12/68,São Paulo - SP,,Papel. Cop. Xerox,,,Documento concedido por Roberto Luis dos Santos a APGMCRUSP em ago./1993,
AB0332,"VIUDE, Alessandra; ITO, Emerita Emi; HAN, Kyung Eun.",Análise estatística da qualidade de vida no CRUSP (realizada através de depoimentos dos moradores),,CRUSP,,set./1993,São Paulo - SP,,Papel. Cop. Xerox,,,Documento fornecido por Leandro Lopes Pereira de Melo,
AB0333,,Publicações no CRUSP  a partir de nov./1979,,CRUSP,,1993,São Paulo - SP,,Papel. Cop. Xerox,,,Arquivo emprestado por Roberto Luis dos Santos. Material coletado pela APGMCRUSP,
AB0334,"HAMBURGER, Amélia Império ",O Instituto de Física reflete suas origens,,,,1996,São Paulo - SP,,Revista,,,consta nome de Mário Schenberg. Constam 2 exemplares.,
AB0335,"VILHENA, Luís Rodolfo",Os Intelectuais Regionais. Os estudos de folclore e o campo das Ciências Sociais nos anos 50,Revista Brasileira de Ciências Sociais,,ANPOCS,1996,,,Revista,"Ano II, n. 32, outubro",p.125-149,,
AB0336,,,Revista Discurso. Edição Comemorativa dos 25 anos da Revista Discurso em homenagem a Gilda de Mello e Souza,,Discurso Editorial,1996,São Paulo - SP,,Revista,n.26 ,130p.,,
AB0337,ANPOCS,,Revista Brasileira de Ciências Sociais. Homenagem a Florestan Fernandes 1920-1995.,,FFLCH - USP,1996,São Paulo - SP,,Revista,"Ano 11, n.30",p.5-28,,
AB0338,"CAVALCANTI, Maria Laura Viveiros de Castro",Oracy Nogueira e a antropologia no Brasil: o estudo do estigma e do preconceito racial., Revista Brasileira de Ciências Sociais.,,ANPOC,1996,São Paulo-SP,,Revista,"n.31, ano 11, jun.",p.5-28,,
AB0339,"LITHOLDO, A",A unidade do pensamento de J. J. Rousseau na perspectiva de seu testemunho,,,FFCL,1969,Presidente Prudente-SP,,Livro,,143p.,,
AB0340,"LEITE, Dante Moreira; SENA, Jorge de",Correspondência: Registros de uma convivência intelectual,,,Ed. da Unicamp,1996,Campinas - SP,,Livro,,175p.,Coleção Viagens da Voz,
AB0341,,O Centenário de Alfredo Ellis Júnior, Notícia Bibliográfica e Histórica,Alfredo Ellis Júnior - Centenário,PUC,out.-dez./1996,Campinas - SP,,Revista,"ano 28, n.163",p.289-384,,
AB0342,"ARAÚJO, Oscar Egídio de ",Uma Pesquisa por padrão de vida por Oscar Egídio de Araújo,Revista do Arquivo Municipal,,,1941,São Paulo - SP,,Revista,v.80,182p.,,
AB0343,"FÁVERO, Maria de Lourdes de A",Faculdade Nacional de Filosofia,,,Proedes/FNFI-Fac. Educação-UFRJ,1995,Rio de Janeiro - RJ,,Catálo do Arquivo da FNFI,,39p.,cop. xerox. ,
AB0344,,Seminário Comemorativo dos 50 anos da Faculdade Nacional de Filosofia,,,Proedes/FNFI-Fac. Educação-UFRJ,1989,Rio de Janeiro - RJ,,Programa,,56p.,cop. xerox. Série de Estudos 001,
AB0345,"BONARDI, C. Salgado",A Faculdade Nacional de Filosofia e a formação do professor secundário,,,Proedes/FNFI-Fac. Educação-UFRJ,1990,Rio de Janeiro - RJ,,Programa,,23p.,Série de Estudos 002,
AB0346,"FÁVERO, Maria de Lourdes de A",A Faculdade Nacional de Filosofia: o projeto possível.,,,Proedes/FNFI-Fac. Educação-UFRJ,s.d.,Rio de Janeiro - RJ,,Programa,,43p.,Série de Estudos 009. Cóp. Xerox.,
AB0347,"VILLAS-BÔAS, Gláucia Kruse",A recepção da sociologia alemã no Brasil: notas para uma discussão.,,,UFRJ/IFCS-LPS,1996,Rio de Janeiro - RJ,,Programa,n.11,15p.,Série Estudos Ciências Sociais,
AB0348,"HAMBURGER, Amélia Império et alli.",A ciência nas relações Brasil-França (1850-1950),,,Edusp,1996,São Paulo-SP,,Livro,,359p.,,
AB0349,"STEINER, Maria Helena de Figueiredo",Hebert Baldus: 1899-1970,Revista Humboldt,Hebert Baldus,Ubersee-Verlag,1971,Hamburgo - Alemanha,,Revista,"ano 11, n.23",p.88-90,Acompanha cóp. xerox do artigo.,
AB0350,"HUTTER, Lucy Maffei",O imigrante e a questão da saúde. In: A presença italiana no Brasil.,,,"Torino/Escola Superior de Teologia S. Lourenço de Brindes, Fondazione Giovanni Agnelli",1996,Porto Alegre - RS,,Capítulo de livro,v.3,p.336-379,Luis Alberto deBoni et alli (org.),
AB0351,"SPINA, Segismundo",Aula Inaugural dos Cursos da FFLCH - USP,,,FFLCH-USP,1996,São Paulo-SP,,,,15p.,aula proferida em 19.02.1996,
AB0352,"PARK, Margareth Brandini","Memória, educação e cidadania: tecendo o cotidiano de creches e pré-escolas em Itupeva - SP",,,CMU/ UNICAMP,1996,Campinas - SP,,Livro,,240 p.,"Coleção Educação & História, 1",
AB0353,Instituto de Estudos Brasileiros,ABC do IEB: Guia Geral do Acervo ,,,EDUSP,1997,São Paulo - SP,,Guia,,200p., Marta Rossetti Batista (coord.),
AB0354,"SANTOS, M. Cecília Loschiavo dos.","USP. Alma mater paulista, 63 anos.",,,EDUSP,1997,São Paulo-SP,,Livro,,257p.,,
AB0355,"PESSANHA, Elina G.; VILLAS BOAS, Gláucia (org)",Ciências Sociais: ensino e pesquisa na graduação,,Ciências Sociais - Ensino,J.C. Editora,1995,Rio de Janeiro - RJ,,Livro,,238p.,"Série Ciências Sociais, 2.",
AB0356,FFCL - USP,O Orientador. Órgão do Partido Acadêmico Orientador,,,FFCL - USP,1943,São Paulo - SP,,Jornal,"AnoI-III, n. 1-4, 6 e 10.",,Cóp. xerox,
AB0357,"MEYER, Marlise",As mil faces de um herói-canalha.,,,,1997,São Paulo-SP,,Capítulos de livro,,203p. ,"+ 4 anexos + partituras - Primeira Coleção de Guadrilhas, 2 exemplares cópia xerox",
AB0358,"MEYER, Marlise",Uma novela brasileira de 1830. ,Revista do Instituto de Estudos Brasileiros,,IEB-USP,1967,São Paulo-SP,,Separata,n.2,p.125-130,,
AB0359,"FUNARI, Pedro Paulo ",Um documento inédito de Paulo Duarte. , Saeculum. Revista de História,,"Centro de Ciências Humanas, Letras e Artes/Universidade Federal da Paraíba",1996,João Pessoa - Paraíba,,Revista,"v.2, jul-dez.",p.253-264,Cóp. xerox do artigo,
AB0360,"RICCI, Franco Maria",Portugal-Brazil: The Age of Atlantic Discoveries,,,Bertrand ,1990,Itália,,Catálogo de Exposição,,270 p.,,
AB0361,"BARROS, Benedito Ferri de ",Elias Said ,,Elias Said ,,1952,s.l.,,,,,texto sem revisão final,
AB0362,FFCL-USP,Histórico do Concurso da Cadeira de Filosofia,,,FFCL-USP,1952,São Paulo - SP,,,,93p.,,
AB0363,,Retrospectiva de publicações,,,FFCL-USP,1961,São Paulo-SP,,Catálogo,,298p.,,
AB0364,FFLCH-USP,Dissertações e teses defendidas na FFLCH/USP. 1939-1977,,,FFCL-USP,1977,São Paulo - SP,,Boletim Especial ,n.1,206p.,,
AB0365,FFLCH-USP,Catálogo de publicações,,,FFCL-USP,1981,São Paulo-SP,,Catálogo,,8p.,,
AB0366,FFCL-USP,Programas aprovados pela Congregação para o Ano Letivo de 1953,,,FFCL-USP,1953,São Paulo - SP,,Programas,,410p.,,
AB0367,FFCL-USP,Programa Curso de Matemática para 1954,,,FFCL-USP,1954,São Paulo - SP,,Programas,,57p.,,
AB0368,FFCL-USP,Programas aprovados pela Congregação para o Ano Letivo de 1954,,,FFCL-USP,1954,São Paulo - SP,,Programas,,436p.,,
AB0369,FFCL-USP,Programas aprovados pela Congregação para 1965,,,FFCL-USP,1965,São Paulo - SP,,Programas,,267p.,,
AB0370,FFCL-USP,Programas aprovados pela Congregação para 1967,,,FFCL-USP,1967,São Paulo - SP,,Programas,,,,
AB0371,FFCL-USP,Programas aprovados pela Congregação para 1968,,,FFCL-USP,1968,São Paulo - SP,,Programas,,293p.,,
AB0372,FFLCH-USP,Programas  para 1970-Geografia (Graduação),,,FFLCH-USP,1970,São Paulo - SP,,Programas,,25p.,,
AB0373,FFLCH-USP,Programas  para 1978-Ciências Sociais,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.31-92,,
AB0374,FFLCH-USP,Programas  para 1978-Filosofia,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.5-28,,
AB0375,FFLCH-USP,Programas  para 1978-História,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.129-176,,
AB0376,FFLCH-USP,Programas  para 1978-Geografia,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.95-126,,
AB0377,FFLCH-USP,Programas  para 1978-Linguísticas e Línguas Orientais,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.315-424,,
AB0378,FFLCH-USP,Programas  para 1978-Letras Clássicas e Vernáculas,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.265-312,,
AB0379,FFLCH-USP,Programas  para 1978-Letras Modernas,,,FFLCH-USP,1978,São Paulo - SP,,Separata,,p.181-262,,
AB0380,FFLCH-USP,Programas  para 1979,,,FFLCH-USP,1979,São Paulo - SP,,Programas,,416p.,,
AB0381,FFCL-USP Grêmio,"Órgão do grêmio da Faculdade de Filosofia, Ciências e Letras da USP",,,FFCL-USP,1940,São Paulo - SP,,Revista,n.7,130p.,,
AB0382,FFCL-USP Grêmio,"Órgão do grêmio da Faculdade de Filosofia, Ciências e Letras da USP",,,FFCL-USP,1953,São Paulo - SP,,,"n.15, ano XVIII",74p.,,
AB0383,FFCL-USP Guias,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1943",,,FFCL-USP,1943,São Paulo - SP,,Guia,,326p.,,
AB0384,FFCL-USP Guias,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1948",,,FFCL-USP,1948,São Paulo - SP,,Guia,,160p.,,
AB0385,FFCL-USP Guias,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1951",,,FFCL-USP,1951,São Paulo - SP,,Guia,,130p.,,
AB0386,FFCL-USP Guias,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1953",,,FFCL-USP,1953,São Paulo - SP,,Guia,,106p.,,
AB0387,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras da USP para 1954",,,FFCL-USP,1954,São Paulo - SP,,Guia,,40p.,,
AB0388,,Bibliotecas do Estado de São Paulo cadastradas no CRB-8,,"Bibliotecas públicas, São Paulo; bibliotecas escolares, São Paulo; bibliotecas universitárias São Paulo",,1987,São Paulo - SP,,[Catálogo],,438p.,,
AB0389,"SANTOS, Eloína Monteiro dos",A Rebelião de 1924 em Manaus,,"Manaus, História. ",SUFRAMA  /Ed.Caldera-ro,1985,Manaus - AM,,Livro,,170p.,,
AB0390,,,Revista do Instituto de Estudos Brasileiros,Parlamenta-rismo e presidencialismo em debate,IEB-USP,1991,São Paulo - SP,,Revista,n.32,220p.,Edição especial,
AB0391,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras para 1966. Ciências Humanas ",,,FFCL-USP,1966,São Paulo - SP,,Guia,,213p.,,
AB0392,"CAMPOS, Ernesto de Souza","Um ano de administração na Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo",,FFLCH-USP,,jun./1937-jun./1938,São Paulo - SP,,,,97p.,,
AB0393,FFCL-USP,Relatório sobre as necessidades urgentes da FFCL,,,FFCL-USP,1959,São Paulo - SP,,Relatório,,16p.+ anexos,"Profs. Drs. Florestan Fernandes, Erasmo Garcia Mendes e Walter Shützer.",
AB0394,FFCL-USP,Relatório Anual da Diretoria apresentado à Congregação da FFCL-Exercício de 1961,,,FFCL-USP,1962,São Paulo - SP,,Relatório,,16p., Mário Guimarães Ferri. mimeo,
AB0395,,,História & Energia,Rios; reservatórios; enchentes.,Depto. de Patrimônio Histórico da Eletropaulo,1995,São Paulo - SP,,Caderno,n.5,151p.,,
AB0396,FFLCH-USP,Relatório de Pesquisa,,,FFLCH-USP,1994,São Paulo - SP,,Relatório,,65p.,Prof. Dr. István Jancsó,
AB0397,FFLCH-USP,Relatório de Atividades-Exercício de 1993,,,FFLCH-USP,1994,São Paulo - SP,,Relatório,,508p.,Diretor Adilson Avansi de Abreu,
AB0398,FFLCH-USP,Relatório de Atividades-Exercício de 1995,,,FFLCH-USP,1996,São Paulo - SP,,Relatório,,615p.,Prof. João Baptista Borges Pereira,
AB0399,"MÜLLER, Nice Lecocq (coord.)",Série Gráfica-I Setor Cultural do Instituto de Geografia da USP,,,,s.d.,Presidente Prudente-SP,,Revista,,,,
AB0400,USP-Reitoria,"Programas dos Concertos da ""Orquestra Universitária de Concertos""",,,USP,"1945-60, 1965-67, 1971","São Paulo, Santos-SP",,Programas,,,,
AB0401,,,Boletim Informativo,"Composição administrati-va, docente e discente da FFLCH-USP",FFLCH - USP,out./1970,São Paulo - SP,,Boletim,"ano1, n.3",24p.,,
AB0402,,"Aula Inaugural da FFCL - USP (1942), pelo prof. André Dreyfus",Revista do Arquivo,,,1942,São Paulo - SP,,Separata ,n.81,p.257-270,,
AB0403,"BARROS, Benedito Ferri de ",Discurso do Prof. no encerramento da solenidade da colação de grau da turma de 1963,,,FFLCH - USP,1964,São Paulo - SP,,Discurso,,8p.,,
AB0404,"CAMPOS, Ernesto de Souza","O Problema da Centralização dos Cursos Propdeuticos Universitários nas Faculdades de Philosophia, Sciencias e Letras",Jornal OESP,FFCL-USP,,1937,São Paulo - SP,,Separata,,26p.,,
AB0405,FFLCH-USP,"Problemas atuais da Universidade de São Paulo. Manifesto da Congregação da Faculdade de Filosofia, Ciências e Letras ao povo e ao governo",,,FFLCH-USP,1956,São Paulo - SP,,Manifesto,,26p.,,
AB0406,FFLCH-USP,Homenagem ao Prof. Eurípedes Simões de Paula,,,,1977,São Paulo - SP,,Homenagens,,16p.,Orador: Prof. Eduardo d'Oliveira França,
AB0407,FFLCH-USP,Circular,,Tranferências e matrículas de graduados em nível superior em função do conceito de vaga, FFLCH - USP,25/11/71,São Paulo - SP,,Circular,n.2,,,
AB0408,FFCL-USP,"Regulamento-Decreto n.7069 de 6 de abril de 1935, da Secretaria dos Negócios da Educação e Saúde Pública do Estado de SP, aprovando o Regulamento da FFCL_USP",,,FFCL-USP,1936,São Paulo - SP,,Regulamento,,48p.,,
AB0409,FFCL-USP,"Regulamento-Decreto n.12/038 de 1 de julho de 1941, da Secretaria de Estado da Educação e Saúde Pública do Estado de SP, aprovando o Regulamento da FFCL-USP",,,FFCL-USP,1941,São Paulo - SP,,Regulamento,,19p.,,
AB0410,FFCL-USP,"Regulamento-Decreto n.12511 de 21 de janeiro de 1942, da Secretaria de Estado da Educação e Saúde Pública do Estado de SP, aprovando o Regulamento da FFCL-USP",,,FFCL-USP,1957,São Paulo - SP,,Regulamento,,42p.,,
AB0411,FFCL-USP,"Regimento - Decreto n.13/426 de 23 de junho de 1943 da Secretaria de Estado da Educação e Saúde Pública de São Paulo, aprovando o Regimento de Concurso para provimento dos cargos de professor catedrático e livre docente da FFCL-USP",,,FFLCH-USP,1943,São Paulo - SP,,Regimento,,19p.,,
AB0412,Casa Civil do Governo do Estado de São Paulo,"Decreto n.1018, de 5 fev. 1973",,Alteração do estatuto da USP,,1973,São Paulo - SP,,Decreto,n.1018,2p.,,
AB0413,USP-Reitoria,"Portaria n.87, de 26 de setembro de 1949, da Reitoria da USP, regulamentando a admissão de deplomados por Universidades ou Faculdades Nacionais e Estrangeiros na USP, na qualidade de ""Bolsistas"".",,,USP,1949,São Paulo - SP,,Portaria,,1p.,,
AB0414,USP-Reitoria,"Portaria GR. n.885, de 23 de agosto de 1969, da Reitoria USP, dispondo sobre o regime de Pós-Graduação na USP",,,USP,1970,São Paulo - SP,,Portaria,,8p.,,
AB0415,USP-Reitoria,"Portarias ns. 1023 e 1024 e 15 de janeiro de 1970, da Reitoria da USP, sobre a composição das Unidades Universitárias e fixando normas de caráter transitório para implantar a Reforma Universitária",,,USP,1970,São Paulo - SP,,Portaria,,45p.,,
AB0416,USP-Reitoria,"Portaria n. 1040, de 3 de fevereiro de 1970, da Reitoria da USP, aditando normas de caráter transitório à Portaria GR, n. 1024, de 15 de janeiro de 1970",,,USP,1970,São Paulo - SP,,Portaria,,7p.,acompanha anexo,
AB0417,USP-Reitoria,"Portaria GR, n.1380, de 1 de fevereiro de 1971, da Reitoria da USP, estabelecendo normas relativas às atividades na USP ",,,USP,1971,São Paulo - SP,,Portaria,,12p.,,
AB0418,USP-Reitoria,"Portaria GR, n. 1381, de 1 de fevereiro de 1971, da Reitoria da USP, estabelecendo critérios para opção por um dos três regimes de trabalho previstos da USP",,,USP,1971,São Paulo - SP,,Portaria,,4p.,,
AB0419,USP-Reitoria,"Portaria GR, n. 1536, de 19 de l\julho de 1971, da Reitoria da USP, sobre disposições referentes ao atendimento das opções para o Regime de Turno Completo",,,USP,1971,São Paulo - SP,,Portaria,,4p.,,
AB0420,USP-Reitoria,"Portaria GR, n. 1637, de 4 de novembro de 1971, da Reitoria da USP, dispondo sobre cobrança de taxa destinada à cobertura de despesas com registro de diploma",,,USP,1971,São Paulo - SP,,Portaria,,1p.,,
AB0421,USP-Reitoria,"Portaria GR, n. 1639, de 8 de novembro de 1971, da Reitoria da USP, sobre concursos docentes e expedição de títulos na USP",,,USP,1971,São Paulo - SP,,Portaria,,2p.,,
AB0422,USP-Reitoria,"Portaria GR, n.1646, de 26 de novembro de 1971, da Reitoria da USP, sobre exames vestibulares",,,USP,1971,São Paulo - SP,,Portaria,,1p.,,
AB0423,USP-Reitoria,"Portaria GR, n. 1732, de 28 de março de 1972, da Reitoria da USP, dispondo sobre concurso para professor titular",,,USP,1972,São Paulo - SP,,Portaria,,4p.,,
AB0424,USP-Reitoria,"Portaria GR, n. 112, de 30 de dezembro de 1974, da Reitoria da USP, cessando os efeitos de dispositivos da Portaria GR, n. 102, de 26 de junho de 1973",,,USP,1974,São Paulo - SP,,Portaria,,4p.,,
AB0425,USP-Reitoria,"Resoluções (17) ns. 97, 100, (1972); 171, 143, 273, 276, 279, 296, 322, (1973); 381, 573, (1974); 646 (1975); 1109, 1113, (1976); 1124, (1977); 1475, 1557 (1978), da Reitoria da USP, sobre: normas para equiparação de títulos obtido fora da USP, pesos de p",,,USP,1972-78,São Paulo - SP,,Resoluções,,,,
AB0426,FFLCH-USP,"Regimento Interno-Doutoramento, aprovado pela Congregação e pelo Conselho Universitário em sessão de 9 de dezembro de 1941 e publicado no Diário Oficial de 4 de janeiro de 1942",,,FFLCH-USP,1942,São Paulo - SP,,Regimento Interno,,9p.,,
AB0427,FFCL-USP,Regulamentos/Regimentos Cursos de Pós-Graduação,,,FFCL-USP,1966,São Paulo - SP,,Regulamentos/Regimentos,,63p.,Constam 2 exemplares que não foram encontrados,
AB0428,FFCL-USP,"Regimento de Concursos Portarias GR. N.58 de 11 de junho de 1964, disponho sobre o regime de concursos para provimento efetivo de catédra e livre-docência na FFCL-USP",,,FFCL-USP,1964,São Paulo - SP,,Regimento,,15p.,,
AB0429,"ROJAS, Carlos Antonio Aguirre ",Fernand Braudel y las Ciencias Humanas,,A obra de Fernand Braudel ,Biblioteca de Divulgación Temática,1996,Montesinos/ Barcelona,,Livro,,216p.,,
AB0430,MIS-Museu da Imagem e do Som,História Oral. Depoimentos em vídeo,,,Secretaria do Estado da Cultura/MIS,1994,São Paulo-SP,,Livro,,134p.,,
AB0431,FFLCH-USP,Códice Costa Matoso,Varia Historia. Revista do Departamento de História,Costa Matoso,FFCH-UFMG,jun-99,Belo Horizonte - MG,,Revista,n.21,447p.,,
AB0432,"FIGUEIREDO, L. R. A; CAMPOS, M. V. (coord.)",Códice Costa Matoso,,Costa Matoso,"Fundação João Pinheiro, Centro de Estudos Históricos e Culturais",1999,Belo Horizonte - MG,,Livro,,983p.,"2 volumes. Coleção Mineirriana, Série Obras de Referência.",
AB0433,Universidade São Francisco,,Boletim CDAPH-Centro de Documentação e Apoio à Pesquisa em História da Educação,,Universidade São Fancisco,1998,Bragança Paulista - SP,,Boletim,"v.1, n.2, jul/dez.",110p.,Constam 2 exemplares,
AB0434,,,Revista de História,,FFLCH - USP,1996,São Paulo - SP,,Revista,n.135,207p.,Constam 3 exemplares,
AB0435,,,Revista de História,,FFLCH - USP,1997,São Paulo - SP,,Revista,n. 136,174p.,,
AB0436,"CORRÊA, Anna Maria Martinez",Para preparar a mocidade... Fragmentos de memórias na história da Faculdade de Odontologia de Araquara - 1923-1976,,Faculdade de Odontologia de Araquara,Fundação Editora Unesp,1998,São Paulo - SP,,Livro,,242p.,,
AB0437,"ALMEIDA, Jaime de (org.)",Caminhos da História da América no Brasil: tendências e contornos de um campo historiográfica,,História da América,,1998,Brasília - DF,,Livro,,727p.,,
AB0438,,,Estudos Avançados,Dossiê Recursos Humanos; Teoria da Dependência; Flávio de Carvalho; Pintura nos anos 90.,,mai.-ago./1998,São Paulo - SP,,Revista,"v.12, n.33",260p.,,
AB0439,,,Estudos Avançados,Manifesto comunista; exclusão social; nuestra américa; Bertold Brecht.,,set.-dez./ 1998,São Paulo - SP,,Revista,"v.12, n.34",342p.,,
AB0440,,,Estudos Avançados,Dossiê Nordeste Seco ,,mai-ago./1999,São Paulo - SP,,Revista,"v.13, n.36",275p.,,
AB0441,,,Revista do Instituto de Estudos Avançados. Dossiê Memória,,,set.-dez.1987,São Paulo - SP,,Revista,"v.13, n.37",,,
AB0442,,,Estudos Avançados,"Brasil: desafios, Liberalismo e escravidão, Portinari.",,jan.-abr./2000,São Paulo - SP,,Revista,"v.14, n.38",404p.,,
AB0443,"ZOPPI, Antônio ",Reminiscência de Indaiatuba. ,,,Fundação Pró Memória de Indaiatuba,1998,Indaiatuba - SP,,Livro,,93p.,"Coleção ""Crônicas Indaiatubanas"" -1",
AB0444,"DIDIER, Maria Thereza",Emblemas da Sagração Armonial: Ariano Suassuna e o Movimento Armorial (1970-1976),,,Ed. Universitária da UFPE,2000,Recife - PE,,Livro,,215p.,,
AB0445,"ENCARNA-ÇÃO, João Bosco da ",Amor e Consciência. Ambigüidades de um bígamo ,,,Stiliano,1999,Lorena - SP,,Livro,,144p.,,
AB0446,"ENCARNA-ÇÃO, João Bosco da ",Antes da Revelação. Os caminhos do Apocalipse,,,Stiliano,1999,Lorena - SP,,Livro,,62p.,,
AB0447,"ENCARNA-ÇÃO, João Bosco da ",Conversa do Alpendre,,,Stiliano,1999,Lorena - SP,,Livro,,55p.,,
AB0448,,Secularização? Metafísica do mercado público e privado na educação superior,Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,1999,Bragança Paulista - SP,,Revista,n.23,99p.,,
AB0449,,Franciscanismo e pós-modernidade,Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,1997,Bragança Paulista - SP,,Revista,n.18,81p.,,
AB0450,"FREITAS, Marcos Cezar de ",Da Micro-História à História das idéias,,,Cortez Editora/USF-IFAN,1999,São Paulo - SP,,Livro,,107p.,Coleção Estudos CDAPH-2,
AB0451,"FREITAS, Marcos Cezar de (org.)",Memória intelectual da Educação Brasileira,,,CDAPH-IFAN/USF/EDUSF,1999,Bragança Paulista - SP,,Livro,,100p.,Coleção Estudos CDAPH-5. Acompanha 1 exemplar da 2a. edição da referida obra.,
AB0452,"BRANDÃO, Zaia",A Intelligentsia Educacional. Um percurso com Paschoal Lemme por entre as memórias e as histórias da Escola Nova no Brasil,,,EDUSF,1999,Bragança Paulista - SP,,Livro,,205p.,,
AB0453,"NOSELLA, Paolo",Qual compromisso político? Ensaios sobre a educação brasileira pós-ditadura,,,CDAPH-IFAN/USF/EDUSF,1998,Bragança Paulista - SP,,Livro,,144p.,Coleção Estudos CDAPH-1,
AB0454,"SILVA JR, Joào Reis & SGUISSARDI, Valdemar",Novas faces da educação superior no Brasil. Reforma do Eatado e mudança na produção.,,,CDAPH - IFAN/USF,1999,Bragança Paulista - SP,,Livro,,279p.,Coleção Estudos CDAPH-4,
AB0455,"SOUZA, Maria Cecília Cortez Christiano de Souza",Crise familiar e contexto social. São Paulo : 1890-1930,,Família,CDAPH-IFAN/USF,1999,Bragança Paulista - SP,,Livro,,251p.,Coleção Estante do IFAN,
AB0456,"SOUZA, Maria Cecília Cortez Christiano de Souza",Escola e Memória,,Educação,CDAPH-IFAN/USF,2000,Bragança Paulista - SP,,Livro,,196p.,Coleção Estante do IFAN,
AB0457,"CORRÊA, Mariza",As ilusões da liberdade: a escola Nina Rodrigues e a Antropologia no Brasil,,,CDAPH-IFAN/USF,1998,Bragança Paulista - SP,,Livro,,487p.,Coleção Estante do IFAN,
AB0458,"OLIVEIRA, Cecília Helena L. de Salles",A Astúcia Liberal. Relações de mercado e projetos políticos no Rio de Janeiro (1820-1824),,,CDAPH - IFAN/USF,1999,Bragança Paulista - SP,,Livro,,414p.,,
AB0459,"OLIVEIRA, Marcos Fábio Martins de; RODRIGUES, Luciene (org.)",Capitalismo: da gênese à crise atual.,,,Universidade Estadual de Montes Claros,1999,Montes Claros-MG,,Livro,,176p.,Constam 2 exemplares.,
