especificação,nreferencia,numero,região,local,titulo,data,rolonum,Bobina,suporte,País,Sistema,Ano de Entrada,Origem,Nota,Acervo disponível,Acervo indisponível
África - Colonialismo e Descolonização. Arquivo do Prof. Chilcote sobre África Portuguesa: Colonialismo e processo de independência.,856,4,,Angola,África - Colonialismo e Descolonização.,1957-1966,1,2,Microfilmes,Angola,Neg/35mm,,,,,
África - Colonialismo e Descolonização. Arquivo do Prof. Chilcote sobre África Portuguesa: Colonialismo e processo de independência.,855,Não consta,,Argélia,África - Colonialismo e Descolonização.,,1,Não consta,Microfilmes,Argélia,Não consta,,,,,
Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Gobierno de Mojos e Chiquitos.,641,6,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1750-1809,1,2,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,
Archivo General de la Nación Argentina. Real Aduana de Buenos Aires. Alcabalas.,642,7,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1785-1806,1,3,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,,
"Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Aduana, Fazenda.",643,8,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1783-1798,1,4,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,X
Archivo General de la Nación Argentina. Comércio. Administração. Navegação. Agricultura. República do Paraguai.,644,9,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1794-1819,1,5,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,X,
"Jornal Revolución. Organo del Movimiento 26 de Julio (jornal com 14 páginas) Obs.: constam Índices Analítico e de Matéria (em pasta) - Lunes de Revolución - elaborados pela Dra. Elena Ginaldes, 1977.",1331,29,,"Cuba, Havana",Jornal Revolución.,02-01 a 28-02/1959,1,1,Microfilmes,Cuba-Havana,Pos/35mm,,,,,
Viajantes Estrangeiros. Ministério das Relações Exteriores - RJ -  Obras de: F. Dabadie; B.V.Mackenna; A.J.Kennedy; C.d'Ursel; W.S.Auchincloss; L.d'Assumpção; M.R.Viot; C.Lambert and S.Lambert; E.Michel; P.Fountain; F. Vincent; A.Lomonaco; F. Courcy; E. Montet; V.Grossi; F.Alcock.,610,408,,"França, Inglaterra, Chile, Portugal,EUA, Itália, Argentina, Suiça",Ministério das Relações Exteriores - RJ - Viajantes estrangeiros.,1861-1942/1853-1903,1,3 e 4,Microfilmes,França,Neg/35mm,,,,,
Viajantes Estrangeiros. Ministério das Relações Exteriores - RJ. Obras de: C.Expilly; A.Toussaint-Samson.,625,409,,"França, Paris/Brasil, Rio de Janeiro",Ministério das Relações Exteriores - RJ - Viajantes estrangeiros.,1862-1883,1,5,Microfilmes,"França, Paris/Brasil, Rio de Janeiro",Neg/35mm,,,,,
533. American Economic Review.,1016,89,América do Norte,EUA,533. American Economic Review.,out/65-jul/66,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1017,90,América do Norte,EUA,413. American Economic Review.,ou/66-jul/67,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1018,91,América do Norte,EUA,413. American Economic Review.,out/68-jun/69,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1019,92,América do Norte,EUA,413. American Economic Review.,fev-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1020,93,América do Norte,EUA,413. American Economic Review.,fev-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1021,94,América do Norte,EUA,413. American Economic Review.,fev-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
413. American Economic Review.,1022,95,América do Norte,EUA,413. American Economic Review.,fev-dez/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1084. American Journal of Economics and Sociology.,1023,96,América do Norte,EUA,1084. American Journal of Economics and Sociology.,jan-out/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
492. American Journal of Sociology.,1024,97,América do Norte,EUA,492. American Journal of Sociology.,jul/65-mai/66,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1203,276,América do Norte,EUA,5647. Technology and Culture.,jan-out/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1204,277,América do Norte,EUA,5647. Technology and Culture.,jan-out/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1205,278,América do Norte,EUA,5647. Technology and Culture.,jan-out/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1206,279,América do Norte,EUA,5647. Technology and Culture.,jan-out/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1207,280,América do Norte,EUA,5647. Technology and Culture.,jan-out/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1299,372,América do Norte,EUA,The Wall Street Journal (New York).,jan/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1300,373,América do Norte,EUA,The Wall Street Journal (New York).,fev/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1301,374,América do Norte,EUA,The Wall Street Journal (New York).,mar/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1268,341,América do Norte,EUA,The Wall Street Journal (New York).,jun/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1269,342,América do Norte,EUA,The Wall Street Journal (New York).,jul/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1270,343,América do Norte,EUA,The Wall Street Journal (New York).,ago/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Bristish Museum. Obra de e sobre Robert Southey. Resenhas (PS/3/4749). (Universidade do Microfilme),910,429,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,16,Microfilmes,Inglaterra,Neg/35mm,,,,,
"The Bristish Museum. Obra de e sobre Robert Southey. Biografias, memórias e correspondência (PS/3/8020 e PS/3/9645). (Universidade do Microfilme)",911,430,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,17,Microfilmes,Inglaterra,Neg/35mm,,,,,
"The Bristish Museum. Obra de e sobre Robert Southey. Impressos: Col. Francesa de S.Domingos, catálogo e correspondência (PS/3/8301). (Universidade do Microfilme)",912,431,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,18,Microfilmes,Inglaterra,Neg/35mm,,,,,
The Bristish Museum. Obra de e sobre Robert Southey. Correspondência (PS/3/8024). (Universidade do Microfilme),913,432,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,19,Microfilmes,Inglaterra,Neg/35mm,,,,,
"The Bristish Museum. Obra de e sobre Robert Southey. Marginalia de Coleridge na Historia do Brasil, Robert Southey (PS/3/4633). (Universidade do Microfilme)",914,439,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,26,Microfilmes,Inglaterra,Neg/35mm,,,,,
"The Bristish Museum. Obra de e sobre Robert Southey. Seleta dos trabalhos de Robert Southey, 4º vol. (PS/3/4749). (Universidade do Microfilme).",915,440,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,27,Microfilmes,Inglaterra,Neg/35mm,,,,,
University of London Library. Obra de e sobre Robert Southey. Biografias e literatura histórica (PS/3/4451).,916,433,,"Inglaterra, Londres",University of London Library. Obra de e sobre Robert Southey.,,1,20,Microfilmes,"Inglaterra, Londres",Neg/35mm,,,,,
University of London Library. Obra de e sobre Robert Southey. Catalogue of Bristol historiography (15040).,917,436,,"Inglaterra, Londres",University of London Library. Obra de e sobre Robert Southey.,,1,23,Microfilmes,"Inglaterra, Londres",Neg/35mm,,,,,
747. Saturday Review.,1186,259,América do Norte,EUA,747. Saturday Review.,jul-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1187,260,América do Norte,EUA,747. Saturday Review.,jul-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1188,261,América do Norte,EUA,747. Saturday Review.,jul-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1189,262,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1190,263,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1191,264,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1192,265,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1193,266,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1194,267,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Navegação. Tratados de Limites. Recrutamento militar. Prestação de contas. Fazenda Real.,646,11,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1762-1809,1,6,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,
Archivo General de la Nación Argentina. Division Colonia: Hacienda. Aduana. Alcabalas.,647,12,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1796-1803,1,7,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
Archivo General de la Nación Argentina. Division Colonia: Hacienda. Aduana. Impostos.,648,13,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1776-1809,1,8,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
Archivo General de la Nación Argentina. Division Colonia: Seccion Gobierno. Hacienda: Aduana. Cobrança de alcabalas.,649,14,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1761-1805,1,9,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
Archivo General de la Nación Argentina. Division Colonia. Seccion Gobierno. Hacienda. Aduana: Cobrança de alcabalas.,650,15,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1780-1803,1,10,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
760. Christian Century.,1081,154,América do Norte,EUA,760. Christian Century.,jan-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1082,155,América do Norte,EUA,760. Christian Century.,jan-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1083,156,América do Norte,EUA,760. Christian Century.,jan-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1084,157,América do Norte,EUA,760. Christian Century.,jan-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1085,158,América do Norte,EUA,760. Christian Century.,jan-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1086,159,América do Norte,EUA,760. Christian Century.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1087,160,América do Norte,EUA,760. Christian Century.,jan-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
760. Christian Century.,1088,161,América do Norte,EUA,760. Christian Century.,jan-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1159,232,América do Norte,EUA,815. New Republic.,jan-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1160,233,América do Norte,EUA,815. New Republic.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1161,234,América do Norte,EUA,815. New Republic.,jan-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1162,235,América do Norte,EUA,815. New Republic.,jan-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
Archivo General de Indias - Sevilha. Tratado de limites na America Meridional.,645,10,,"Argentina, Buenos Aires",Achivo General de Indias - Sevilha.,1768-1786,1,6,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,X,
Archivo General de la Nación Argentina. Division Colonia: Contadoria y Gobierno.,557,5,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,Séculos XVIII e XIX,1,1,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,,,,,
The Wall Street Journal (New York).,1302,375,América do Norte,EUA,The Wall Street Journal (New York).,abr/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1303,376,América do Norte,EUA,The Wall Street Journal (New York).,mai/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1304,377,América do Norte,EUA,The Wall Street Journal (New York).,jun/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1305,378,América do Norte,EUA,The Wall Street Journal (New York).,jul/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1306,379,América do Norte,EUA,The Wall Street Journal (New York).,ago/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1307,380,América do Norte,EUA,The Wall Street Journal (New York).,set/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1308,381,América do Norte,EUA,The Wall Street Journal (New York).,out/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1309,382,América do Norte,EUA,The Wall Street Journal (New York).,nov/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1310,383,América do Norte,EUA,The Wall Street Journal (New York).,dez/1987,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1311,384,América do Norte,EUA,The Wall Street Journal (New York).,jan/1988,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1312,385,América do Norte,EUA,The Wall Street Journal (New York).,fev/1988,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1313,386,América do Norte,EUA,The Wall Street Journal (New York).,mar/1988,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1314,387,América do Norte,EUA,The Wall Street Journal (New York).,abr/1988,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1123,196,América do Norte,EUA,997. Journal of Marketing.,jan-out/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
796. Journal of Politics.,1124,197,América do Norte,EUA,796. Journal of Politics.,fev-nov/1965,1,1,Microfilmes,EUA,Neg/35mm,,,,,
796. Journal of Politics.,1125,198,América do Norte,EUA,796. Journal of Politics.,fev-nov/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
796. Journal of Politics.,1126,199,América do Norte,EUA,796. Journal of Politics.,fev-nov/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
796. Journal of Politics.,1127,200,América do Norte,EUA,796. Journal of Politics.,fev-nov/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
796. Journal of Politics.,1128,201,América do Norte,EUA,796. Journal of Politics.,fev-nov/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1129,202,América do Norte,EUA,130. Moder Plastics.,set/65-fev/66,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1130,203,América do Norte,EUA,130. Moder Plastics.,mar/66-ago/66,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1131,204,América do Norte,EUA,130. Moder Plastics.,set/66-fev/67,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1132,205,América do Norte,EUA,130. Moder Plastics.,mar-ago/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1133,206,América do Norte,EUA,130. Moder Plastics.,set/67-fev/68,1,1,Microfilmes,EUA,Neg/35mm,,,,,
130. Moder Plastics.,1134,207,América do Norte,EUA,130. Moder Plastics.,mar-out/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1045. Review of Politics.,1180,253,América do Norte,EUA,1045. Review of Politics.,jan-out/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1045. Review of Politics.,1181,254,América do Norte,EUA,1045. Review of Politics.,jan-out/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1182,255,América do Norte,EUA,747. Saturday Review.,jul-dez/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1183,256,América do Norte,EUA,747. Saturday Review.,jul-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1184,257,América do Norte,EUA,747. Saturday Review.,jul-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
747. Saturday Review.,1185,258,América do Norte,EUA,747. Saturday Review.,jul-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
Archivo General de la Nación Argentina. Division Colonia. Seccion Gobierno Interior. Aduana: alcabalas.,651,16,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1737-1809,1,11,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
Archivo General de la Nación Argentina. Division Colonia. Seccion Gobierno. Contadoria. Alcabala.,652,17,,"Argentina, Buenos Aires",Archivo General de la Nación Argentina.,1780-1802,1,13,Microfilmes,"Argentina, Buenos Aires",Neg/35mm,1981,,,X,
"Obra de e sobre Robert Southey. Kegel, C.H. sobre Robert Southey. (Universidade do Microfilme)",905,423,,Inglaterra,Obra de e sobre Robert Southey.,,1,10,Microfilmes,Inglaterra,Pos/35mm,,,,,
The Bristish Museum. Obra de e sobre Robert Southey.  Omniana (PS/3/8306) (Universidade do Microfilme),906,424,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,11,Microfilmes,Inglaterra,Neg/35mm,,,,,
The Bristish Museum. Obra de e sobre Robert Southey (PS/3/9647). (Universidade do Microfilme),907,425,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,12,Microfilmes,Inglaterra,Neg/35mm,,,,,
The Bristish Museum. Obra de e sobre Robert Southey. Seleta dos trabalhos de Robert Southey (PS/3/4451). (Universidade do Microfilme),908,426,,"Inglaterra, Londres",The Bristish Museum. Obra de e sobre Robert Southey.,,1,13,Microfilmes,Inglaterra,Neg/35mm,,,,,
126. Horizon.,1117,190,América do Norte,EUA,126. Horizon.,W.-A./1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1118,191,América do Norte,EUA,997. Journal of Marketing.,jan-out/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1119,192,América do Norte,EUA,997. Journal of Marketing.,jan-out/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1120,193,América do Norte,EUA,997. Journal of Marketing.,jan-out/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1121,194,América do Norte,EUA,997. Journal of Marketing.,jan-out/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
997. Journal of Marketing.,1122,195,América do Norte,EUA,997. Journal of Marketing.,jan-out/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1264,337,América do Norte,EUA,The Wall Street Journal (New York).,fev/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1265,338,América do Norte,EUA,The Wall Street Journal (New York).,mar/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1266,339,América do Norte,EUA,The Wall Street Journal (New York).,abr/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
The Wall Street Journal (New York).,1267,340,América do Norte,EUA,The Wall Street Journal (New York).,mai/1984,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1195,268,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1196,269,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1197,270,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2484. Sea Frontiers.,1198,271,América do Norte,EUA,2484. Sea Frontiers.,jan-dez/1976,1,1,Microfilmes,EUA,Neg/35mm,,,,,
2490. Smithsonian.,1199,272,América do Norte,EUA,2490. Smithsonian.,abr/70-mar/71,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1200,273,América do Norte,EUA,5647. Technology and Culture.,jan-out/1965,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1201,274,América do Norte,EUA,5647. Technology and Culture.,jan-out/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
5647. Technology and Culture.,1202,275,América do Norte,EUA,5647. Technology and Culture.,jan-out/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
894. Nation's Business.,1149,222,América do Norte,EUA,894. Nation's Business.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
894. Nation's Business.,1150,223,América do Norte,EUA,894. Nation's Business.,jan-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
894. Nation's Business.,1151,224,América do Norte,EUA,894. Nation's Business.,jan-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
894. Nation's Business.,1152,225,América do Norte,EUA,894. Nation's Business.,jan-dez/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
894. Nation's Business.,1153,226,América do Norte,EUA,894. Nation's Business.,jan-dez/1976,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1154,227,América do Norte,EUA,815. New Republic.,jan-dez/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1155,228,América do Norte,EUA,815. New Republic.,jan-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1156,229,América do Norte,EUA,815. New Republic.,jan-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1157,230,América do Norte,EUA,815. New Republic.,jan-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
815. New Republic.,1158,231,América do Norte,EUA,815. New Republic.,jan-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1033,106,América do Norte,EUA,923. Art News.,mar/67-fev/68,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1034,107,América do Norte,EUA,923. Art News.,mar/68-fev/69,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1035,108,América do Norte,EUA,923. Art News.,mar/69-fev/70,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1036,109,América do Norte,EUA,923. Art News.,mar/70-fev/71,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1037,110,América do Norte,EUA,923. Art News.,mar/71-fev/72,1,2,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1038,111,América do Norte,EUA,923. Art News.,mar/72-fev/72,1,2,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1039,112,América do Norte,EUA,923. Art News.,jan-out/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1040,113,América do Norte,EUA,923. Art News.,jan-out/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1041,114,América do Norte,EUA,923. Art News.,jan-out/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
923. Art News.,1042,115,América do Norte,EUA,923. Art News.,jan-out/1976,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1043,116,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1044,117,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1045,118,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1046,119,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1047,120,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1048,121,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1049,122,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1050,123,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1973,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1051,124,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1974,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1052,125,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1975,1,1,Microfilmes,EUA,Neg/35mm,,,,,
158. Atlantic Monthly.,1053,126,América do Norte,EUA,158. Atlantic Monthly.,jan-dez/1976,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1054,127,América do Norte,EUA,1077. Automotion.,jan-dez/1966,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1055,128,América do Norte,EUA,1077. Automotion.,jan-dez/1967,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1056,129,América do Norte,EUA,1077. Automotion.,jan-dez/1968,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1057,130,América do Norte,EUA,1077. Automotion.,jan-dez/1969,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1058,131,América do Norte,EUA,1077. Automotion.,jan-dez/1970,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1059,132,América do Norte,EUA,1077. Automotion.,jan-dez/1971,1,1,Microfilmes,EUA,Neg/35mm,,,,,
1077. Automation.,1060,133,América do Norte,EUA,1077. Automotion.,jan-dez/1972,1,1,Microfilmes,EUA,Neg/35mm,,,,,
756. Building Systems Designs.,1061,134,América do Norte,EUA,756. Building Systems Designs.,jan-dez/1965,1,1,Microfilmes,EUA,Neg/35mm,,,,,
"Mauro, F.  - Les Relations de Montelembert et Louis Veuillot.",580,402,,"França, Paris","Mauro, F.  - Les Relations de Montelembert et Louis Veuillot.",1944-45,1,1,Microfilmes,"França, Paris",Neg/35mm,,,,,
"Schnürer, Gustave - L'Eglise et la civilisations au Moyen Age. Paris, Payot. 638p. vol. III.",576,404,,"França, Paris","Schnürer, Gustave - L'Eglise et la civilisations au Moyen Age. Paris, Payot. 638p. v. III.",1938,1,1,Microfilmes,"França, Paris",Neg/35mm,,,,,
