Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCC-37,"Chaves, Rita de Cássia Natal ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literaturas Africanas de Língua Portuguesa, opção 1: História, Tradição e Contemporaneidade",Benjamin Abdala Junior - DLCV-FFLCH/ Kabenguele Munanga - DA-FFLCH/ Lourenço Joaquim da Costa Rosário- Universidade Politécnica de Moçambique/ Vilma Sant´Anna Arêas - UNICAMP/ Tania Maria Alkmin - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2012,36p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. C-04
MCC-38,"Chwarts, Suzana",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Hebraica, disciplina: Estudos Interdisciplinares da Bíblia Hebraica",Moacir Aparecido Amâncio -DLO-FFLCH/ Nachman Falbel -DLO-FFLCH/ Pedro Paulo Abreu Funari- UNICAMP/ Renan Springer de Freitas- UFMG/ Luiz Felipe de Cerqueira e Silva Pondé- FAAP,Depertamento de Letras Orientais  ,São Paulo,2012,24p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. C-04
MCC-39,"Cuter, João Vergílio Gallerani Cuter",Memorial  + Currículo ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filosofia  da Linguagem ,Marco Antonio Ávila Zingano-DF-FFLCH/ Luiz Henrique Lopes dos Santos - DF-FFLCH/ João Carlos Salles Pires da Silva - UFBA/ Luiz Carlos Pinheiro Dias Pereira - PUC-RJ e UERJ/ Danilo Marcondes de Souza Filho - PUC-RJ,Departamento de Filosofia ,São Paulo,2012,26p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. C-04
MCC- 40,"Camilo, Vagner ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literatura Brasileira, opção 4: a poesia nos séculos XIX e XX",João Roberto Gomes de Faria - DLCV-FFLCH/ João Adolfo Hansen (DLCV-FFLCH/ Vilma Sant´Anna Arêas - UNICAMP/ John Angus Gledson-University of Liverpool/ Maria Betânia Amoroso - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,38p. ,Acompanha relatório final do concurso. 02 exemplares,Módulo 1      Cx. C-04
MCC-41,"Campos, André Malta ",Memorial + curriculo ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e  Literatura Grega, disciplina Grego Antigo (Literatura)",José Antonio Alves Torrano -DLCV-FFLCH/ Adriane da Silva Duarte - DLCV-FFLCH/ Pedro Paulo Abreu Funari - UNICAMP/ Rachel Gazolla de Andrade - PUC-SP/ Joaquim Brasil Fontes Júnior - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,60p. ,Acompanha relatório final do concurso. 02 exemplares ,Módulo 1      Cx. C-04
MCC-42,"Campos, Norma Discini de ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Linguística,,Departamento de Linguística ,São Paulo,2013,125p.,,
MCC-43,"Corradin, Flávia Maria Ferraz Sampaio ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área Literatura Portuguesa, opção 1 : Literatura Portuguesa: da idade média à contemporaneidade",João Roberto Gomes de Faria - DLCV-FFLCH/ Marli Quadros Leite - DLCV-FFLCH/ Maria Heloisa Martins Dias - UNESP- S.J.R.Preto/ Maria Lúcia Dal Farra - UFS/ Maria Cristina Castilho Costa - ECA-USP ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,220p.,Acompanha relatório final do concurso,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
D,,,,,,,,,,
MCD-01,"Damiani, Amélia Luisa ",Memorial ,,,Departamento de Geografia ,São Paulo,s.d.,22p. ,,Módulo 1      Cx. D-01
MCD-02,"Dantes, Maria Amélia Mascarenhas",Currículo ,,,Departamento de História ,São Paulo,s.d. ,24p. ,,Módulo 1      Cx. D-01
MCD-03,"Dantes, Maria Amélia Mascarenhas",Currículo ,,,Departamento de História ,São Paulo,s.d. ,05p. ,,Módulo 1      Cx. D-01
MCD-04,"Dias, Maria Odila Leite da Silva ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,28p. ,,Módulo 1      Cx. D-01
MCD-05,"Dias, Maria Odila Leite da Silva ",Currículo ,,,Departamento de História ,São Paulo,1982,11p. ,,Módulo 1      Cx. D-01
MCD-06,"Damiani, Amélia Luisa ",,,,Departamento de  Geografia ,,1988,16p. ,,Módulo 1      Cx. D-01
MCD-07,"Dias, Sonia Maria Furian",Memorial ,Concurso público de Títulos e provas  para provimento de vaga  no quadro da universidade,,Departamento de  Geografia ,São Paulo,1988,36p. ,,Módulo 1      Cx. D-01
MCD-08,"Damiani, Amélia Luisa ",Memorial - Atualização,,,Departamento de Geografia ,São Paulo,1990,94p. ,,Módulo 1      Cx. D-01
MCD-09,"Dias, Sonia Maria Furian",Currículo ,,,Departamento de  Geografia ,São Paulo,1990,08p. ,,Módulo 1      Cx. D-01
MCD-10,"Del Priore, Mary Lucy Murray",Memorial  + currículo,,,Departamento de História ,São Paulo,1992,57p. ,,Módulo 1      Cx. D-01
MCD-11,"Dahlet, Véronique Marie Braun ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Letras Modernas ,São Paulo,2004,79p. ,02 exemplares ,Módulo 1      Cx. D-01
MCD-12,"Dahlet, Veronique Marie Braun ",Memorial ,"Concurso público de Títulos e provas na função de Professor  Titular, disciplina de Língua Francesa",Philippe Leon Marie Ghislain Willemart - DLM - FFLCH/ Diana Luz Pessoa de Barros - DL-FFLCH/ Carlos Alberto Faraco - UFPR/ Maria Cecília Perez de Souza e Silva - PUC-SP/ Edson Rosa da Silva - UFRJ,Departamento de Letras Modernas ,São Paulo,2006,84p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. D-01
MCD-13,"De Marco, Valéria ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Língua Espanhola e Literaturas Espanhola e Hispano-americana na disciplina de Literatura Espanhola,Mario Miguel Gonzáles - DLM-FFLCH/ Berta Waldman - DLO-FFLCH/ Carlos Alberto Vogt - UNICAMP/ Marlyse Madelaine Meyer - UNICAMP/ Regina Zilberman - PUC-RS,Departamento de Letras Modernas ,São Paulo,2006,95p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. D-01
MCD-14,"Dawsey, John Cowart",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Antropologia Social ,Lilia Katriz Moritz Schwarcz - DA-FFLCH/ João Baptista Borges  Pereira - DA-FFLCH/ Esther Jean Matteson Langdon - UFSC/ Arno Vogel - UENF/ Etinne Ghislain Samain - UNICAMP ,Departamento de Antropologia ,São Paulo,2007,586p.,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. D-02
MCD-15,"Demant, Peter Robert ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente  em História Contemporânea ,,Departamento de História ,São Paulo,2007,116p. ,02 exemplares ,Módulo 1      Cx. D-02
MCD-16,"Damiani, Amélia Luisa ",Memorial,Concurso público de Títulos e provas  na função de Professor Livre-Docência,,Departamento de Geografia ,São Paulo,2008,108p. ,2 exemplares ,Módulo 1      Cx. D-02
MCD-17,"Damiani, Amélia Luisa ",Memorial,Concurso público de Títulos e provas  na função de Professor Titular na Área de Geografia ,,Departamento de Geografia ,São Paulo,2009,133p. ,02 exemplares ,Módulo 1      Cx. D-02
MCD-18,"Duarte, Adriane da Silva ",Memorial  + currículo Lattes,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de  Língua e Literatura Grega, disciplina de Literatura Grega",José Antonio Alves Torrano - DLCV- FFLCH/ Paula da Cunha Corrêa - DLCV-FFLCH/ Maria Beatriz Borba Florenzano - MAE-USP/ Jacyntho José Lins Brandão - UFMG/ Joquim  Brasil Fontes Junior - UNICAMP ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2010,55p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. D-02
MCD-19,"Dornsbusch, Claudia Sibylle",Memorial + currículo ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de  Língua e Literatura Alemã, disciplina de Literatura Alemã",João Azenha Júnior- DLM-FFLCH/ Stefan Wilhelm Bolle - DLM - FFLCH/ Suzi Frankl Sperber - UNICAMP/  Mayra Rodrigues Gomes - ECA-USP/ Norfval Baitello Júnior - PUC-SP ,Departamento de Letras Modernas ,São Paulo,2013,55p. ,Acompanha relatório final do concurso público,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E,,,,,,,,,,
MCE-01,"Ellis Junior, Alfredo ",Currículo ,,,Departamento de  História ,São Paulo,s.d. ,03p. ,,Módulo 1      Cx. E-01
MCE-02,"Ellis, Myriam",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina de História da Civilização Brasileira ,,Departamento de História ,São Paulo,1972,39p. ,,Módulo 1      Cx. E-01
MCE-03,"Ellis, Myriam",Currículo ,,,Departamento de História ,São Paulo,1984,08p. ,,Módulo 1      Cx. E-01
MCE-04,"Eufrásio, Mário Antonio ",Memorial ,"Concurso público de Títulos e provas  na função de Professor-Assistente, disciplinas de Sociologia ",,Departamento de Sociologia ,São Paulo,1988,25p.  ,,Módulo 1      Cx. E-01
MCE-05,"Estêvão, José Carlos ",Memorial + currículo,Concurso público de Títulos e provas  na função de Professor Livre-docente,,Departamento de Filosofia ,São Paulo,2009,45p. + 18p.+ anexos ,02 exemplares ,Módulo 1      Cx. E-01
MCE-06,"Estéves, Lenita Maria Rimoli",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Estudos Linguísticos e Literários em Inglês, disciplina Traduação",Francis Henrik Aubert - DLM - FFLCH/ Stella Esther Ortweiller Tagnin - DLM-FFLCH/ Kanavillil Rajagopalan - UNICAMP/ Leila Cristina de Mello Darin - PUC-SP/ Célia Maria Magalhães - UFMG ,Departamento de Letras Modernas ,São Paulo,2012,47p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. E-01
F,,,,,,,,,,
MCF-01,"Ferline, Vera Lúcia do Amaral ",Currículo ,,,Departamento de História ,São Paulo,s.d.,61p.  ,,Módulo 1      Cx. F-01
MCF-02,"Ferreira, Rosely Pacheco Dias ",Atualização do Memorial - professor assistente,,,Departamento de Geografia ,São Paulo,s.d.,07p. ,,Módulo 1      Cx. F-01
MCF-03,"França, Eduardo D´Oliveira ",Currículo ,,,Departamento de História ,São Paulo,s.d.,04p. ,,Módulo 1      Cx. F-01
MCF-04,"Franco Júnior, Hilário ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,09p. ,,Módulo 1      Cx. F-01
MCF-05,"Fruehauf, Magda Adelaide Lombardo ",Memorial - complementação,,,Departamento de Geografia ,São Paulo,s.d. ,7p. ,,Módulo 1      Cx. F-01
MCF-06,"Forcchi, Marialice Mencarini ",Memorial ,Concurso público de Títulos e provas  na função de Livre-docente,,Departamento de Sociologia ,São Paulo,1970,10p. ,,Módulo 1      Cx. F-01
MCF-07,"Florsheim, Geraldo Henrique Moura ",Currículo ,,,Departamento de História ,São Paulo,1981,04p. ,,Módulo 1      Cx. F-01
MCF-08,"Falbel, Nachman ",Currículo ,,,Departamento de História ,São Paulo,1982,76p. ,,Módulo 1      Cx. F-01
MCF-09,"Falbel, Nachman ",Memorial ,Concurso público de Títulos e provas  na função de Professor-Assistente,,Departamento de História ,São Paulo,1987,83p. ,,Módulo 1      Cx. F-01
MCF-10,"Ferline, Vera Lúcia do Amaral ",Memorial ,"Concurso público de Títulos e provas para provimento do cargo de Professor Assistente no conjunto de disciplinas: História das Idéias, História da Cultura e História das Instituições",,Departamento de História ,São Paulo,1987,67p. ,,Módulo 1      Cx. F-01
MCF-11,"Franco Júnior, Hilário ",Memorial ,,,Departamento de História ,São Paulo,1987,26p. ,,Módulo 1      Cx. F-01
MCF-12,"Ferreira, Rosely Pacheco Dias ",Memorial ,Concurso público de Títulos e provas para provimento do cargo de Professor Assistente ,,Departamento de Geografia ,São Paulo,1988,22p. ,,Módulo 1      Cx. F-01
MCF-13,"Fruehauf, Magda Adelaide Lombardo ",Memorial ,Concurso público de Títulos e provas para efetivação ,,Departamento de Geografia ,São Paulo,1988,84p. ,,Módulo 1      Cx. F-01
MCF-14,"Fiorin, José Luiz",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Línguística ,São Paulo,1994,131p. ,,Módulo 1      Cx. F-01
MCF-15,"Faria, João Roberto Gomes de ",Memorial ,Concurso público de Títulos e provas ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2003,106p. ,,Módulo 1      Cx. F-02
MCF-16,"Ferreira Netto, Waldemar ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filologia e Língua Portuguesa - opção 2 - Fonética da Língua Portuguesa ,Benjamin Abdala Júnior - DLCV-FFLCH/  Erasmo d´Almeida Magalhães - DLCV-FFLCH/ Gladis Massini-Cagliari - UNESP- Araraquara/ Sandra Madureira - PUC-SP / Mirian Therezinha da Matta Machado - UFF ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2006,37p. ,Acompanha relatório final do concurso público ,Módulo 1      Cx. F-02
MCF-17,"Florenzano, Modesto ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina  de História Moderna ,,Departamento de História ,São Paulo,2006,69p.,,Módulo 1      Cx. F-02
MCF-18,"Ferline, Vera Lúcia do Amaral ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina História Ibérica ,Raquel Glezer - DH-FFLCH/ José Jobson de Andrade Arruda - DH-FFLCH/ Joaquim Antero Romero de Magalhães - Universidade de Coimbra/ Ana Lúcia Duarte Lanna - FAU-USP/ José Ribeiro Júnior - UNESP,Departamento de História ,São Paulo,2007,89p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. F-02
MCF-19,"Faleiros, Álvaro",Memorial + currículo,"Concurso público de Títulos e provas  na função de Professor Livre-Docente na área de Língua e Literatura Francesa, disciplina: Literatura Francesa ",Gilberto Pinheiro Passos - DLM-FFLCH/ John Milton - DLM-FFLCH/ Jerusa de Carvalho Pires Ferreira - ECA-USP/ Marcos Antonio Siscar - UNICAMP/ Henryk Siewierski - UnB,Departamento de Letras Modernas ,São Paulo,2010,60,02 exemplares ,Módulo 1      Cx. F-02
MCF-20,"Ferreira Netto, Waldemar ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Filologia e Língua Portuguesa - especialidade: Fonética e Fonologia ,Benjamin Abdala Junior - DLCV-FFLCH/ Ataliba Teixeira de Castilho - DLCV-FFLCH/ Lucy Seki - UNICAMP/ Maria Bernardete Marques Abaurre - UNICAMP/ Sandra Madureira - PUC-SP ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2010,114p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. F-02
MCF -21,"Franco, Maria Sylvia de Carvalho",Memorial ,Concurso público de Títulos e provas na função de Professor Titular ,,Departamento de Filosofia ,São Paulo,[1976],226p. ,,Módulo 1      Cx. F-02
MCF-22,"Frúgoli Jr., Heitor ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente ,,Departamento de História ,São Paulo,2014,37p. ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
G,,,,,,,,,,
MCG-01,"Garcia, Emanuel Soares da Veiga ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,34p. ,,Módulo 1      Cx. G-01
MCG-02,"Glezer, Raquel ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,11p. ,,Módulo 1      Cx. G-01
MCG-03,"Gonçalves, Ricardo Mário",Currículo ,,,Departamento de História ,São Paulo,s.d.,12p.,,Módulo 1      Cx. G-01
MCG-04,"Gonçalves, Ricardo Mário",Currículo ,,,Departamento de História ,São Paulo,s.d.,18p.,,Módulo 1      Cx. G-01
MCG-05,"Grespan, Jorge Luís da Silva ",Curriculo condensado,,,Departamento de História ,São Paulo,s.d.,03p. ,,Módulo 1      Cx. G-01
MCG-06,"Guarinello, Norberto Luiz ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,07p. ,,Módulo 1      Cx. G-01
MCG-07,"Glezer, Raquel ",Currículo ,,,Departamento de História ,São Paulo,1982,18p. ,,Módulo 1      Cx. G-01
MCG-08,"Garcia, Elisabeth de Souza Lobo Garcia",Memorial,,,Departamento de Sociologia ,São Paulo,1988,31p. ,,Módulo 1      Cx. G-01
MCG-09,"Glezer, Raquel ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente em Metodologia da História ,,Departamento de História ,São Paulo,1992,72p. ,,Módulo 1      Cx. G-01
MCG-10,"Góes, Maria Lúcia Pimentel de Sampaio ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  na Área de Literatura Infantil e Juvenil ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,1999,86p. ,Acompanha Currículo condensado - 25p,Módulo 1      Cx. G-01
MCG-11,"Guimarães, Nadya Araújo ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Sociologia ,São Paulo,2002,191p. ,,Módulo 1      Cx. G-01
MCG-12,"Góes, Maria Lúcia Pimentel de Sampaio ",Curriculo condensado,,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2004,25p.  ,,Módulo 1      Cx. G-01
MCG-13,"Ghirardi, Pedro Garcez",Memorial ,Concurso público de Títulos e provas na função de Professor Titular de Literatura Italiana ,Alfredo Bosi - DLCV-FFLCH/ Maria Vicentina de Paula do Amaral Dick - DLCV-FFLCH/ Antonio Manoel dos Santos Silva - UNESP/ Manoel Lelo Bellotto - UNESP/ Luiz Jean Lauand - FE-USP,Departamento de Letras Modernas ,São Paulo,2006,127p. ,Acompanha relatório final do concurso público . 02  exemplares,Módulo 1      Cx. G-01
MCG-14,"Guimarães, Nadya Araújo ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  na Área de Sociologia do Trabalho ,,Departamento de Sociologia ,São Paulo,2008,250p. ,02 exemplares ,Módulo 1      Cx. G-02
MCG-15,"Gutiérrez Gallardo, Darío Horácio ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de  História da América, disciplina de História da América Colonial ",Eni de Mesquita Samara - DH-FFLCH/ Maria Helena Rolim Capalato - DH-FFLCH/ Anna Maria Martinez Corrêa - UNESP- Assis/ Robert Wayne Andrew Slenes - UNICAMP/ Flávio Azevedo Marques de Saes - FEA-USP,Departamento de História ,São Paulo,2008,165p.,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. G-02
MCG-16,"Ginzburg, Jaime ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente  na Área de Literatura Brasileira, opção 12A: produção a partir de 1945",Benjamin Abdala Junior - DLCV-FFLCH/ João Adolfo Hansen - DLCV-FFLCH/ Francisco Foot Hardman - UNICAMP/ Rita Terezinha Schmidt - UFRGS/ Edson Rosa da Silva - UFRJ,Depertamento de Letras Clássicas e Vernáculas   ,São Paulo,2010,30p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. G-02
MCG-17,"Galle,  Helmut Paul Erich",Memorial + currículo,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literatura Alemã ,Marcus Vinicius Mazzari- DTLCH-USP/ Stefan Wilhelm Bolle - DLM-FFLCH/ Luiz de França Costa Lima Filho - PUC-RJ/ Suzi Frankl Sperber - UNICAMP/ Márcio Orlando Seligmann silva - UNICAMP ,Departamento de Letras Modernas ,São Paulo,2011,57p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. G-02
MCG-18,"Garmes, Hélder",Memorial ,Concurso público de Títulos e provas ,,Depertamento de Letras Clássicas e Vernáculas   ,São Paulo,2011,45p. ,,Módulo 1      Cx. G-02
MCG-19,"Guimarães, Hélio de Seixas ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de Literatura Brasileira, opção nº 3 A prosa no século XIX",João Roberto Gomes de Faria - DLCV-FFLCH/ José Miguel Soares Wisnik - DLCV - FFLCH/ Luiz de França Costa Lima Filho - PUC-RJ/ Marisa Philbert Lajolo - UNICAMP/ John Angus Gledson - University of Liverpool,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,76p.,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. G-02
MCG-20,"Grigoletto, Marisa ",Memorial + currículo,"Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de  Estudos Linguísticos e Literários em Inglês, disciplina de Língua Inglesa",Lynn Mário Trindade Menezes de Souza - DLM-FFLCH/ Walkyria Maria Monte Mór - DLM- FFLCH/ Maria José Rodrigues Faria Coracini-UNICAMP/ Kanavillil Rajagopalan - UNICAMP/ Maria Onice Payer - UNIVAS ,Departamento de Letras Modernas ,São Paulo,2013,78p. ,Acompanha relatório final do concurso público. ,
MCG-21,"Grillo, Sheila Vieira de Camargo",Memorial,"Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de  Filologia e Língua  Portuguesa, opção nº 5  Teoria do Texto Escrito",Marli Quadros Leite -DLCV-FFLCH/ Elisabeth Brait - DL-FFLCH/ Carlos Alberto Faraco - UFPR/ Luci Banks Leite- UNICAMP/ Dóris de Arruda Carneiro da Cunha- UFPE,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,59p. ,Acompanha relatório final do concurso público. ,
MCG-22,"Gutiérrez Gallardo, Horácio ",Memorial + currículo,Concurso público de Títulos e provas na função de Professor Titular  na Área de História,Laura de Mello e Souza - DH-FFLCH/ Adilson Avansi de Abreu- DG-FFLCH/ Maria Cristina Oliveira Bruno  - MAE -USP/ Júlio Roberto Katinsky - FAU-USP/ Ana Lúcia Duarte Lanna - FAU-USP ,Departamento de História ,São Paulo,2013,212p. ,Acompanha relatório final do concurso público. ,
MCG - 23,"Guarinello, Norberto Luiz ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na área de História Antiga ,Paulo Martins - DLCV-FFLCH/ Marcelo Cândido da Silva - DH-FFLCH/ Jacyntho José Lins Brandão - UFMG/ Maria Beatriz Borba Florenzano - MAE-USP/ Elaine Farias Veloso Hirata- MAE-USP,Departamento de História ,São Paulo,2015,38p. ,Acompanha relatório final do concurso público. ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 ,,,,,,,,,,
H,,,,,,,,,,
MCH-01,"Hirano, Sedi ",Memoral ,Concurso público de Títulos e provas na função de Professor Titular  na Área de Sociologia ,José Reginaldo Prandi - DS-FFLCH/ Francisco Maria Cavalcanti de Oliveira  - DS-FFLCH/  Paul Israel Singer - FEA-USP/ Cremilda Celeste de Araújo Medina - ECA-USP/ Maria Cristina Cacciamali - FEA-USP ,Departamento de Sociologia ,São Paulo ,1999,130p. ,01 cópia ,Módulo 1      Cx. H-01
MCH-02,"Hernandez, Leila Maria Gonçalves",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de  História Contemporânea,Raquel Glezer - DH - FFLCH/ Kabengele Munanga - DA- FFLCH/ Murilo de Azevedo Marx - FAU-USP/ Dilma de Melo e Silva - PUC-SP/ Luiz Carlos Soares - UFF-RJ,Departamento de História ,São Paulo,2005,61p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. H-01
MCH-03,"Hansen, João Adolfo ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular  na Área de  Literatura Brasileira ,Benjamin Abdala Júnior - DLCV-FFLCH/ Alfredo Bosi - DLCV-FFLCH/ Francisco Foot Hardman - UNICAMP/ Caio César Boschi - PUC-MG/ Paulo Elias Allane Franchetti - UNICAMP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2007,194p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. H-01
,,,,,,,,,,
I,,,,,,,,,,
MCI-01,"Iokoi, Zilda Márcia Grícoli",Memorial ,Concurso público -  parte dos requisitos para concurso de ingresso na carreira docente ,,Departamento de História ,São Paulo,1987,65p. ,,Módulo 1      Cx. I-01
MCI-02,"Iokoi, Zilda Márcia Grícoli",Currículo ,,,Departamento de História ,São Paulo,1991,13p. ,,Módulo 1      Cx. I-01
MCI-03,"Izarra, Laura Patricia Zuntini de ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente  na disiciplina Literaturas em Língua Inglesa,Antonio Dimas de Moraes - DLCV-FFLCH/ Lynn Mário Trindade Menezes de Souza - DLM-FFLCH/ Solange Ribeiro de Oliveira - UFMG/ Carlos Daghlian - UNESP - S.J.R.P./ Marisis Aranha Camargo - PUC-SP,Departamento de Letras Modernas ,São Paulo,2006,29p. + 76p. Currículo,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. I-01
MCI-04,"Iokoi, Zilda Márcia Grícoli",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular  na disciplina: Brasil Independente,Renato da Silva Queiroz - DA-FFLCH/ José Carlos Sebe Bom Meihy - DH-FFLCH/ Francisco Carlos Teixeira da Silva - UFRJ/ Sidney Chalhoub - UNICAMP/ José Eduardo Campos de Oliveira Faria -FD-USP,Departamento de História ,São Paulo,2010,199p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. I-01
,,,,,,,,,,
J,,,,,,,,,,
MCJ-01,"Jancsó, István",Currículo ,,,Departamento de História ,São Paulo,s.d. ,05p. ,,Módulo 1      Cx. J-01
MCJ-02,"Janotti, Aldo ",Currículo ,Professor- Adjunto,,Departamento de História ,São Paulo,s.d.,9p. ,,Módulo 1      Cx. J-01
MCJ-03,"Janotti, Maria de Lourdes Monaco ",Currículo ,,,Departamento de História ,São Paulo,s.d.,43p. ,,Módulo 1      Cx. J-01
MCJ-04,"Janotti, Aldo ",Currículo ,,,Departamento de História ,São Paulo,1972,4p. ,,Módulo 1      Cx. J-01
MCJ-05,"Janotti, Maria de Lourdes Monaco ",Memorial ,Concurso público de Títulos e provas na função de Professor-Adjunto ,,Departamento de História ,São Paulo,1987,152p. ,,Módulo 1      Cx. J-01
MCJ-06,"Junqueira, Claudette Barrriguela ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,1988,06p. ,,Módulo 1      Cx. J-01
MCJ-07,"Junqueira, Claudette Barrriguela ",Currículo ,,,Departamento de Geografia ,São Paulo,1988,72p. ,,Módulo 1      Cx. J-01
MCJ-08,"Jancsó, István",Memorial ,,,Departamento de História ,São Paulo,1992,50p. ,,Módulo 1      Cx. J-01
MCJ-09,"Jarouche, Mamede Mustafa",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,Benjamin Abdala Junior - DLCV-FFLCH/ Olgária Chain Feres Matos- DF-FFLCH/  Mohamed Ezz El-Din Mostafa Habib - UNICAMP/ Marli de Oliveira Fantini Scarpelli - UFMG/ Vânia Leite Fróes - UFF-RJ ,Departamento de Letras Orientais ,São Paulo,2009,44p. ,02 exemplares,Módulo 1      Cx. J-01
