Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCA-22,"Almeida, Manoel Mourivaldo Santiago ",Memorial + Currículo,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2009,29p.+ curriculo,2 exemplares,Módulo 1      Cx. A-2
MCA-23,"Azenha Junior, João ","Memorial  + Currículo: Sobre vampiros, filósofos, resinas cicloalifáticas e música: a tradução como construção de conhecimento",,,Departamento de Letras Modernas ,São Paulo,2009,125p. ,02 exemp-lares ,Módulo 1      Cx. A-3
MCA-24,"Attie Filho, Miguel ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Litertura Árabe, disciplina de Cultura Árabe ",Safa Alfred Abou Chahla Jubran - DLO-FFLCH/ Olgária Chain  Feres Matos - DF-FFLCH/ Mohamed Ezz El-Din Mostafa Habib- UNICAMP/ Vânia Leite Fróes - UFF/ Carlos Arthur Ribeiro do Nascimento - UNICAMP ,Departamento de Letras Orientais ,São Paulo,2010,75p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. A-3
MCA-25,"Amâncio, Moacir Aparecido ",Memorial ,"Concurso público de Títulos e provas na função de Professor Titular na Área de Língua  eLiteratura Hebraica, disciplina Literatura Hebraica Medieval e Contemporânea",Elias Thomé Saliba - DH-FFLCH/ Berta Waldmann - DLO - FFLCH/ Antonio Carlos Secchin - UFRJ/ Cecília Almeida Salles - PUC-SP/ Maria Lúcia Dal Farra - UFSe,Departamento de Letras Orientais ,São Paulo,2011,259p.         ,Acompanha relatório final do concurso público. 2 exemplares,Módulo 1      Cx. A-3
MCA-26,"Araújo, Gabriel Antunes de ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filologia  Língua Portuguesa,Waldemar Ferreira Netto - DLCV-FFLCH/  Manoel Mourivaldo Santiago Almeida - DLCV-FFLCH/ Thaís Cristófaro Alves da Silva -UFMG/ Hildo Honório do Couto - UnB/ Alan Norman Baxter - Univ. de Macau/UFBA,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2011,41p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. A-3
MCA-27,"Alonso, Angela Maria",Memorial + Currículo Lattes,Concurso público de Títulos e provas na função de Professor Livre-Docente ,Brasílio João Sallum Junior - DS-FFLCH/ Antonio Sérgio Alfredo Guimarães - DS- FFLCH/ José Murilo de Carvalho - UFRJ/  Luiz Jorge Werneck Vianna - IUPERJ / Ângela Maria de Castro Gomes - UFF/FGV-RJ ,Departamento de Sociologia ,São Paulo,2012,127p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. A-3
MCA-28,"Azenha Junior, João ",Memorial + Currículo Lattes: Da tradução como experiência de vida e construção do conhecimento,Concurso público de Títulos e provas na função de Professor Titular na disciplina Tradução: Teoria e Prática (alemão/português),Francis Henrik Aubert - DLM - FFLCH/ Stefan Wilhelm Bolle - DLM - FFLCH/ Eliana Amarante de Mendonça Mendes - UFMG/ Suzi Frankl Sperber - UNICAMP/ Leila Cristina de Mello Darin - PUC-SP ,Departamento de Letras Modernas ,São Paulo,2012,182p. ,Acompanha relatório final do concurso público. 02   exemplares ,Módulo 1      Cx. A-3
MCA- 29,"Aguiar, Joaquim Alves de",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Teoria Literáriua e Literatura Comparada,São Paulo,2012,67p. ,,
MCA-30,"Alvarez, Marcos César ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na área de Sociologia Política,Sergio França Adorno de Abreu-  DS-FFLCH/ Vera da Silva Telles - DS-FFLCH/  Lucila Scavone - UNESP - Araraquara/ José Vicente Tavares dos Santos - UFRGS/ Afrânio Mendes Catavi - FE-USP,Departamento de Sociologia ,São Paulo,2013,63p. ,Acompanha relatório final do concurso público,
MCA-31,"Arretche, Marta Teresa da Silva ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na área de Ciência  Política,,Departamento de Ciência Política ,São Paulo,2013,36p. ,,
